"","coef","Pr(>|z|)","lower .95","upper .95"
"AHI_1:2",0.095781961043043,0.0535094662042267,0.998553615549316,1.21289656413544
"Age_1:2",1.19814673338424,1.21714630504861e-52,2.84157081757799,3.86490252856139
"Sex_1:2",0.447166038200934,0.000377307666010574,1.22221425949464,2.0010417019114
"BMI_1:2",0.291310666216624,4.57063432736375e-06,1.1814527846382,1.51569863488618
"MedBenzo_1:2",0.124077408626334,0.581480220076044,0.72825827652917,1.75989532967133
"MedAntiDep_1:2",-0.362257943441457,0.165925625824551,0.416966738384522,1.1621049090705
"MedSedative_1:2",0.0662451490257377,0.831397028546868,0.580665391287469,1.9661373947232
"MedAntiEplipetic_1:2",-0.855028322556796,0.0406254164086049,0.187576453790179,0.964169777653548
"MedStimulant_1:2",0.493118835988793,0.334798979212813,0.601122001006637,4.46020638819925
"AHI_1:3",-0.0337059217396235,0.60976293432914,0.849476079836098,1.10045491424827
"Age_1:3",1.36991971949253,7.88627521321992e-50,3.28382745916597,4.71538132939621
"Sex_1:3",0.483165240415282,0.000648680599840492,1.22812551534294,2.14007621981932
"BMI_1:3",0.301952436054001,3.03775991015272e-05,1.17357090368871,1.5587024571581
"MedBenzo_1:3",0.249682114564565,0.260389483652148,0.83099660865096,1.98276789306833
"MedAntiDep_1:3",0.0148237674658649,0.948470583385525,0.647434330201991,1.59103611080445
"MedSedative_1:3",0.604085391347675,0.0173971770146048,1.11208524530738,3.00998149335867
"MedAntiEplipetic_1:3",0.379860201887199,0.14060887735456,0.882145437533783,2.42327212628754
"MedStimulant_1:3",0.821002282748591,0.0536659874463769,0.987130969046741,5.2328555313669
