"","coef","Pr(>|z|)","lower .95","upper .95"
"AHI_1:2",0.149362024372691,0.0003502554413003,1.06980358562793,1.26017296072
"Age_1:2",0.723182992495739,1.08519658981956e-24,1.79501199448661,2.36636324520426
"Sex_1:2",0.0746974111192308,0.527042623048584,0.85490760134257,1.35819512818785
"BMI_1:2",0.438598768869966,5.410516711817e-19,1.407828422798,1.70770292072732
"MedBenzo_1:2",0.161446495298724,0.392720216196078,0.811574983859725,1.70177442368349
"MedAntiDep_1:2",0.0352270249090887,0.857085014852252,0.705981810576518,1.51986247789333
"MedSedative_1:2",0.301097345358445,0.213806817393265,0.840624601335772,2.17233968193075
"MedAntiEplipetic_1:2",0.522153137755752,0.0135430174912842,1.11369115724397,2.55135964223401
"MedStimulant_1:2",0.11531779330329,0.801565585273179,0.456574484787778,2.75836748542052
"AHI_1:3",0.0373850754688209,0.492353997840968,0.933010476139232,1.15500999855103
"Age_1:3",1.48995652756456,4.19640620107091e-64,3.73296186111335,5.27358855968241
"Sex_1:3",0.256637134268261,0.0436439088244221,1.00734509318683,1.65857038786024
"BMI_1:3",0.234982300648191,0.000600227218738773,1.10602036921556,1.44657151082516
"MedBenzo_1:3",0.176647285447277,0.386300216571641,0.800124711032871,1.77941070621677
"MedAntiDep_1:3",-0.206149327132188,0.363941513051069,0.521423972219465,1.26984284362525
"MedSedative_1:3",0.91840229724078,3.9441899063011e-05,1.61690640970364,3.88176479591478
"MedAntiEplipetic_1:3",0.237279116366881,0.388352290313646,0.739448366889427,2.17365276374409
"MedStimulant_1:3",0.663734566398282,0.0890976724475686,0.903554633196645,4.17405437305947
