"","coef","Pr(>|z|)","lower .95","upper .95"
"AHI_1:2",-0.104923575630729,0.0356381944244402,0.816439581673013,0.992979971105287
"Age_1:2",1.5456500542571,1.28018291465341e-116,4.11107442563306,5.35277809774791
"Sex_1:2",0.206612699724187,0.0343860712976782,1.01530794957293,1.48889380931151
"BMI_1:2",-0.0554321876590146,0.353926307327981,0.841446471459773,1.06371606905737
"MedBenzo_1:2",0.340499554265087,0.0173566596731729,1.06181848990729,1.86081788422327
"MedAntiDep_1:2",0.609282659361913,9.4426259246925e-05,1.35450546061193,2.49709711878777
"MedSedative_1:2",-0.376532192859095,0.110714170362616,0.432045631712865,1.08998036425433
"MedAntiEplipetic_1:2",0.521954020831201,0.00355198535403489,1.18656029127128,2.39372189209418
"MedStimulant_1:2",-0.127737493740401,0.741328152049636,0.412223987423798,1.87895060296772
"AHI_1:3",0.0151055398078336,0.780108392378156,0.913070023505082,1.12879849116209
"Age_1:3",1.3602988340875,2.48586587225872e-58,3.30262216870057,4.59919330046251
"Sex_1:3",0.315574929383039,0.0121789387956611,1.07127694382108,1.75470107784108
"BMI_1:3",0.278397870607752,1.69402494792714e-05,1.16364368910025,1.49966169767436
"MedBenzo_1:3",0.538631115290967,0.00286193504489507,1.20277385970344,2.44154684559956
"MedAntiDep_1:3",-0.103807824974719,0.647083481208776,0.577977850436299,1.40579655070438
"MedSedative_1:3",0.501868763198809,0.0377264657452221,1.02887420285864,2.65188929863742
"MedAntiEplipetic_1:3",0.472109038130767,0.0425084376625138,1.01608063610226,2.53011653770402
"MedStimulant_1:3",0.306884967440801,0.467863206326022,0.59354029793393,3.11248083183587
