"","coef","Pr(>|z|)","lower .95","upper .95"
"BAI_1:2",0.541220913660997,1.33584621954077e-08,1.42548419323983,2.07079022696493
"Age_1:2",1.91283139419594,1.47218496040843e-63,5.41985466866146,8.46206968402807
"Sex_1:2",-0.140788924470841,0.347950010349691,0.647400783493219,1.16557191221683
"BMI_1:2",0.00683709507446227,0.938609250762348,0.846069092918284,1.19820960010768
"MedBenzo_1:2",0.353317187643554,0.118336564656724,0.91386160272574,2.21823206970065
"MedAntiDep_1:2",0.567961178405673,0.0205233668889271,1.09138195451359,2.85330398394914
"MedSedative_1:2",-0.428920521341823,0.255996618349279,0.310674916651975,1.36501737144176
"MedAntiEplipetic_1:2",0.409990866552466,0.133833732697901,0.881594512182514,2.57539983694781
"MedStimulant_1:2",-0.126999104138243,0.839304202730294,0.258080551051374,3.00562436306388
"BAI_1:3",0.42395118480295,1.59863050801122e-09,1.33141909117116,1.75357578747985
"Age_1:3",1.50877029939931,2.17578425774383e-60,3.7748887383113,5.41498272278805
"Sex_1:3",0.195327961154336,0.101002430183398,0.962610311688111,1.53535639332202
"BMI_1:3",0.230289359021552,0.000472181622682414,1.10648062580733,1.43246157731018
"MedBenzo_1:3",0.437690864109747,0.00892961429988353,1.11583721523099,2.1506642316685
"MedAntiDep_1:3",0.000940446941919867,0.996292416037794,0.673188402912954,1.48826488920344
"MedSedative_1:3",0.55983973639281,0.00629438888729445,1.17141300760611,2.61553523107555
"MedAntiEplipetic_1:3",0.152075302757791,0.506812368568225,0.743086828007214,1.8241114380813
"MedStimulant_1:3",0.545080881028141,0.137708818976598,0.839758451611428,3.54239392346768
