"","coef","Pr(>|z|)","lower .95","upper .95"
"BAI_1:2",0.0457628713968559,0.190603918285951,0.977488681069333,1.1210820213714
"Age_1:2",0.106612870212891,0.00286829152832795,1.03720385656731,1.19326977302987
"Sex_1:2",-0.593830894829676,2.14552068707556e-17,0.481431814504482,0.633388613833175
"BMI_1:2",0.138261960185412,7.97731219094996e-07,1.08693376348655,1.21308081188016
"MedBenzo_1:2",0.379578920058945,0.000343823760450085,1.18739098451797,1.79930303999222
"MedAntiDep_1:2",0.780543335056516,1.33470807409006e-14,1.78948290247184,2.66221896734933
"MedSedative_1:2",0.266245066680386,0.0530520290246435,0.996501135488121,1.70914822642705
"MedAntiEplipetic_1:2",0.213026841417026,0.115364686891246,0.949189059533965,1.61316963871644
"MedStimulant_1:2",0.546845925188663,0.0078936684143698,1.1541869722632,2.58647430047917
"BAI_1:3",0.46583355002661,4.65587233070623e-09,1.3634288335732,1.86202456588066
"Age_1:3",1.64906379853579,5.37090817253265e-53,4.21281761607852,6.42371047116167
"Sex_1:3",0.118146124350545,0.377280427318484,0.865781304331979,1.46289183619924
"BMI_1:3",0.197010803098133,0.00747467179724685,1.05406844504754,1.40686555586464
"MedBenzo_1:3",0.205803280750204,0.359693758644168,0.79090426457336,1.90824679266187
"MedAntiDep_1:3",-0.0306401087993882,0.909117727526532,0.573082087445819,1.64123022178734
"MedSedative_1:3",0.634685698985504,0.0153832000399674,1.12900562987232,3.15199039971438
"MedAntiEplipetic_1:3",0.315011765407342,0.258236357561041,0.793663996389203,2.36580564323593
"MedStimulant_1:3",0.542920617702829,0.345804487387859,0.556663899227304,5.32085959923895
