"","coef","Pr(>|z|)","lower .95","upper .95"
"BAI_1:2",0.244968908710608,6.51954766904838e-05,1.13284376478269,1.44081185086656
"Age_1:2",0.816154107499864,5.56259382229081e-28,1.95479100003431,2.61699034088665
"Sex_1:2",0.0437957997483161,0.715971120102974,0.825206538204489,1.32275035890892
"BMI_1:2",0.448293648954136,3.65871066453514e-20,1.422996615193,1.72257860556498
"MedBenzo_1:2",0.17153545452116,0.369410176756748,0.816252549703974,1.72651061094721
"MedAntiDep_1:2",0.043842978512799,0.825292765507876,0.707911129961574,1.54206537864651
"MedSedative_1:2",0.211457203175178,0.394885642171972,0.759058723030345,2.01091640686603
"MedAntiEplipetic_1:2",0.463264766285895,0.0276189541039112,1.05236851651483,2.40004185966213
"MedStimulant_1:2",0.0835906979514402,0.860322199998058,0.42849385414748,2.75842614472404
"BAI_1:3",0.374348173620055,6.81974242160148e-07,1.25434614509611,1.68553312824727
"Age_1:3",1.59808703145129,1.85597712385904e-53,4.03332222120156,6.05923560323904
"Sex_1:3",0.12805601053768,0.304505293156255,0.890142613644738,1.45133759441632
"BMI_1:3",0.195345341432869,0.0085853437302182,1.05091831850479,1.40639024513867
"MedBenzo_1:3",0.158096596745497,0.412330100143093,0.802616671293881,1.70927831470371
"MedAntiDep_1:3",-0.22764156736958,0.321820933919627,0.507636934496162,1.24945274075809
"MedSedative_1:3",0.869585214838718,3.77818559653685e-05,1.57770470220706,3.60816509424374
"MedAntiEplipetic_1:3",0.131652952747839,0.629288304339568,0.668391485010907,1.94680024962233
"MedStimulant_1:3",0.687948219171384,0.100675128372697,0.875095138796886,4.52364962330178
