"","coef","Pr(>|z|)","lower .95","upper .95"
"BAI_1:2",0.151365205638732,0.000305994642669087,1.07163868289391,1.26306518715033
"Age_1:2",0.63255963358737,5.11019836655863e-49,1.730326251192,2.04788856062782
"Sex_1:2",0.14592736534419,0.0760381318062716,0.98483274512104,1.35952882134332
"BMI_1:2",0.367727615242264,5.60692018366581e-22,1.34035647991473,1.55662438677559
"MedBenzo_1:2",0.362089070682144,0.00533692925499809,1.11332847644494,1.8530334251318
"MedAntiDep_1:2",0.10733458478459,0.424422984646896,0.855529426275018,1.44875411961026
"MedSedative_1:2",0.0427586357686021,0.813069710820508,0.732240352485965,1.48759948974404
"MedAntiEplipetic_1:2",0.201805521696189,0.227306785388952,0.881787513802419,1.69793907950045
"MedStimulant_1:2",0.37677227664092,0.18318830526848,0.836906580659115,2.53853560198624
"BAI_1:3",0.753453042399233,1.08879523758526e-08,1.64068474430247,2.75052665180144
"Age_1:3",1.21368176976195,4.44319708797744e-12,2.38701469588738,4.74608484755252
"Sex_1:3",-0.230900319353907,0.378206227628304,0.474988387084666,1.32665970719472
"BMI_1:3",0.293827947435552,0.0383714922070403,1.0158597038595,1.77166652294256
"MedBenzo_1:3",0.0452717798412157,0.911163905971147,0.472357534186976,2.3176706523498
"MedAntiDep_1:3",0.464420534665873,0.217393762506801,0.760692959496302,3.32798342224339
"MedSedative_1:3",0.549206236872338,0.178171458267503,0.778587962810397,3.85235934587025
"MedAntiEplipetic_1:3",0.393346526555639,0.357214377613249,0.641457209684004,3.42364527662033
"MedStimulant_1:3",-0.336032106134031,0.752156550407138,0.0887809696613364,5.75183391270489
