"","coef","Pr(>|z|)","lower .95","upper .95"
"BAI_1:2",0.244286062956484,0.20569702393867,0.874537527396995,1.86382755464591
"Age_1:2",0.913940597135495,0.000158849157138215,1.55217015618873,4.00773859881888
"Sex_1:2",0.379405021588685,0.295838049628503,0.717544129584475,2.97644868010092
"BMI_1:2",-0.0591465173671301,0.839800680357156,0.531202771487565,1.67249818645939
"MedBenzo_1:2",0.19147270652411,0.749717177814576,0.373473957496005,3.92690826584957
"MedAntiDep_1:2",-0.296129661372734,0.673702337764279,0.187397408031611,2.95135509092092
"MedSedative_1:2",-0.303000047697964,0.726135406499942,0.13554428293612,4.02472580400301
"MedAntiEplipetic_1:2",-14.0187128960957,0,4.3458585514357e-07,1.53258688515632e-06
"MedStimulant_1:2",0.917296070842598,0.431425304862926,0.25464831612489,24.5930523896981
"BAI_1:3",0.401506450049071,4.87103945457467e-10,1.31660202059024,1.69546783117831
"Age_1:3",1.62513991802626,4.78321581911991e-76,4.27397001281191,6.03597075240772
"Sex_1:3",0.14897458883003,0.181088990845845,0.933003254074983,1.44382489323743
"BMI_1:3",0.242476687552652,9.75800001706884e-05,1.12807245645017,1.43971185036426
"MedBenzo_1:3",0.326928679066185,0.0503792676612669,0.999459748133908,1.92398346087372
"MedAntiDep_1:3",-0.0497196113612625,0.795959146196318,0.652737631192444,1.38699674928366
"MedSedative_1:3",0.467952779825325,0.022636074698685,1.06780010975654,2.38763897183979
"MedAntiEplipetic_1:3",0.166119665883818,0.450048673509603,0.7672574779147,1.8169734383748
"MedStimulant_1:3",0.477248871738579,0.206703476592432,0.768320920741044,3.38057397796865
