"","coef","Pr(>|z|)","lower .95","upper .95"
"BAI_1:2",0.295112976166851,0.00173555395765571,1.11677115795614,1.6157258933396
"Age_1:2",1.28336970952577,1.48444235190916e-34,2.93939071916642,4.43060922669031
"Sex_1:2",0.300530707083844,0.0507813711727223,0.998978717011089,1.82591862949869
"BMI_1:2",0.274093828401102,4.62932410632895e-05,1.15282637939371,1.50075904253022
"MedBenzo_1:2",-0.0726030824917124,0.791271253832972,0.543203358172774,1.59211823928219
"MedAntiDep_1:2",0.338300687312496,0.191119205097093,0.844589355758333,2.3291563346811
"MedSedative_1:2",-0.532301702497263,0.241898176996685,0.240794899142036,1.43219229500181
"MedAntiEplipetic_1:2",0.174035404575883,0.574258249742259,0.64847282626876,2.18410468121584
"MedStimulant_1:2",-14.6642666022551,0,2.68080913649928e-07,6.83146695646029e-07
"BAI_1:3",0.421320273635798,1.4139394686925e-07,1.30269023320169,1.78284251821613
"Age_1:3",1.51346103295495,1.7243198776995e-48,3.70895079272973,5.5631975088562
"Sex_1:3",0.210383077135896,0.110335632640922,0.953261235300526,1.59780761386967
"BMI_1:3",0.21916226122078,0.00240831586273602,1.08070412475691,1.43434991602647
"MedBenzo_1:3",0.260377825985187,0.185857559663065,0.882162092869891,1.90815176843365
"MedAntiDep_1:3",-0.132850316720173,0.59400541725903,0.537227137904946,1.4270846612167
"MedSedative_1:3",0.455188401323631,0.0753397764383568,0.954588665815675,2.60348660954711
"MedAntiEplipetic_1:3",0.199514483483882,0.437340201451809,0.737893861421448,2.0197712267284
"MedStimulant_1:3",0.804948849306139,0.0545615263175461,0.984373907309549,5.0817066790731
