"","coef","Pr(>|z|)","lower .95","upper .95"
"hypoxia_burden_1:2",-0.0825655141797492,0.312160574623496,0.784524148453718,1.08063290966376
"Age_1:2",1.74131932824839,2.64016621414665e-54,4.57853689842861,7.10827191183438
"Sex_1:2",0.177214463884472,0.288033837523476,0.860961836938583,1.65555123754722
"BMI_1:2",0.067232163521784,0.51052635334529,0.875443558383634,1.30667915729587
"MedBenzo_1:2",0.251031475805456,0.321612968788337,0.782411070237739,2.11158312612052
"MedAntiDep_1:2",0.709345199170268,0.00457988848747689,1.2448002074499,3.31917200999761
"MedSedative_1:2",-0.208726578371452,0.581815865163698,0.386143245590286,1.70590151543026
"MedAntiEplipetic_1:2",0.787782301976427,0.00438205061444146,1.27874511229617,3.77985401277896
"MedStimulant_1:2",-0.0479981416494082,0.937174738879861,0.288945970709476,3.14407358003165
"hypoxia_burden_1:3",0.0607758919149621,0.197056868675589,0.968927628252968,1.16546149398728
"Age_1:3",1.35490204511341,6.35494178475213e-40,3.17114450539407,4.73845685548431
"Sex_1:3",0.441441817415933,0.000929322479604068,1.197379419818,2.01929468149153
"BMI_1:3",0.289577581752437,4.72982935925975e-05,1.16192632818641,1.53583761226867
"MedBenzo_1:3",0.479840112348967,0.0109750965826094,1.11637267984481,2.33870059528354
"MedAntiDep_1:3",0.0984039572571165,0.652048149290704,0.719413591484714,1.69236467954636
"MedSedative_1:3",0.681115933046326,0.00258500713158546,1.26880952298689,3.0776083595723
"MedAntiEplipetic_1:3",0.225675791641848,0.387524856451617,0.751114984788699,2.09080281308684
"MedStimulant_1:3",0.563296091522703,0.122307835017724,0.859659020296408,3.58877758674275
