"","coef","Pr(>|z|)","lower .95","upper .95"
"hypoxia_burden_1:2",-0.0197275667859193,0.651112148876135,0.900118256795229,1.06798531909586
"Age_1:2",0.107025545761384,0.00735803403932933,1.02917769006994,1.20356858828089
"Sex_1:2",-0.583157095520433,3.23415846959256e-14,0.480093844652803,0.648858569583622
"BMI_1:2",0.147684439921579,2.36824498162873e-06,1.09018566538352,1.23247071116692
"MedBenzo_1:2",0.35433420826046,0.00198520902762426,1.13855477486851,1.78409038965593
"MedAntiDep_1:2",0.786425593915458,1.8119084833065e-13,1.78079064483275,2.70687204049316
"MedSedative_1:2",0.273947299505346,0.0542594541352923,0.995001944384864,1.73829576296001
"MedAntiEplipetic_1:2",0.229644862578754,0.107462382032537,0.951258932610097,1.66405717971171
"MedStimulant_1:2",0.585003007142997,0.00578095112733882,1.18479147651165,2.71947602632867
"hypoxia_burden_1:3",0.0127322914741696,0.823669063040263,0.905508182130161,1.13283523590118
"Age_1:3",1.48583872434473,4.68989003604471e-35,3.4906642965024,5.59338912923541
"Sex_1:3",0.396073224888465,0.0077879672325735,1.10999854875413,1.98930979498214
"BMI_1:3",0.251968981823442,0.00235498417250022,1.09372779331867,1.51338083009024
"MedBenzo_1:3",0.209241958859816,0.403923093043728,0.754184371302613,2.01496602519478
"MedAntiDep_1:3",0.202648273449699,0.457051214363743,0.717912502843866,2.08903894771907
"MedSedative_1:3",0.81176862816952,0.00318332849329098,1.31302635771307,3.86206721017465
"MedAntiEplipetic_1:3",0.341027722282164,0.288276424161479,0.749457305865112,2.63916181153501
"MedStimulant_1:3",0.617731282736347,0.249630791251023,0.647952224387996,5.30898611706465
