"","coef","Pr(>|z|)","lower .95","upper .95"
"hypoxia_burden_1:2",0.0669791334450201,0.0686703998090286,0.99488527330381,1.14922306519348
"Age_1:2",0.716178577187974,1.20670203889619e-18,1.74529543059782,2.39991498029466
"Sex_1:2",0.101772848314287,0.439401909269882,0.855381913611502,1.4329753167508
"BMI_1:2",0.468395419193176,7.79190207326625e-19,1.44024603308086,1.77176616619107
"MedBenzo_1:2",0.213040038023026,0.309396901440949,0.820585044659948,1.86603862220586
"MedAntiDep_1:2",0.132592130744606,0.529478179669481,0.755259009703785,1.72612461856092
"MedSedative_1:2",0.288811316073691,0.272321034196817,0.797039412995358,2.23551981820237
"MedAntiEplipetic_1:2",0.390760098019902,0.10015239462748,0.927680046325767,2.35511269388085
"MedStimulant_1:2",0.182472272389868,0.700991683818906,0.472875650790396,3.04611608556058
"hypoxia_burden_1:3",0.0503178512149428,0.355810601658674,0.945078772644622,1.17013918128322
"Age_1:3",1.42413034908972,8.35017905433319e-36,3.32234723294887,5.19444178894987
"Sex_1:3",0.3813148753146,0.00753970687023829,1.10695683852756,1.93675731457551
"BMI_1:3",0.243170641597994,0.00302987493477969,1.08590088752819,1.49770109574621
"MedBenzo_1:3",0.12152631921353,0.58279972302774,0.731913187266261,1.74219533911453
"MedAntiDep_1:3",-0.0538307822817742,0.828745861451745,0.581825001966989,1.54330156626894
"MedSedative_1:3",0.988121366698475,2.40432357590342e-05,1.69822384323852,4.24889872832754
"MedAntiEplipetic_1:3",0.199650092775944,0.498561019743095,0.684846817384705,2.17680950621179
"MedStimulant_1:3",0.602278323028873,0.158743941588181,0.790312683779221,4.22020310330776
