"","coef","Pr(>|z|)","lower .95","upper .95"
"hypoxia_burden_1:2",-0.137270550353595,0.695319873975651,0.438572016803848,1.73271604482204
"Age_1:2",0.847519725255704,0.000507920615134659,1.44732251848643,3.76340502745457
"Sex_1:2",0.329836990440425,0.422225363381918,0.621471837990147,3.11222736041658
"BMI_1:2",-0.140231169369994,0.640406808594353,0.482580769661829,1.56540509197455
"MedBenzo_1:2",0.39422115012706,0.531398361655649,0.431576879087676,5.09750863544344
"MedAntiDep_1:2",-0.127423767312559,0.85669467854083,0.220817221467155,3.50984696643292
"MedSedative_1:2",-0.131973430608995,0.881173694625986,0.155303218469397,4.94525713947681
"MedAntiEplipetic_1:2",-13.983991704601,0,4.25547274719535e-07,1.67768847784596e-06
"MedStimulant_1:2",0.944077362538296,0.42124027115809,0.257538525394634,25.6550563786922
"hypoxia_burden_1:3",0.0287902897997078,0.584954604816477,0.928182486663159,1.14123099502387
"Age_1:3",1.47929439028822,3.44502418718032e-52,3.62758903362981,5.31227686256152
"Sex_1:3",0.446446626972374,0.000381415640605705,1.22157872892805,1.9992041805401
"BMI_1:3",0.293795417531802,1.86728803654932e-05,1.17264540149839,1.53469031516539
"MedBenzo_1:3",0.338164888893238,0.0719811584689493,0.970243282697428,2.02696218128319
"MedAntiDep_1:3",0.113634018484692,0.569415735900412,0.757412347829972,1.65717690952782
"MedSedative_1:3",0.613087672171453,0.00488109105014241,1.20464791307178,2.82918308776655
"MedAntiEplipetic_1:3",0.260195930086031,0.292879898877767,0.798794505547653,2.10653289026782
"MedStimulant_1:3",0.452791922922766,0.251566012755233,0.725257714090422,3.41034024675802
