"","coef","Pr(>|z|)","lower .95","upper .95"
"hypoxia_burden_1:2",-0.00487558536258968,0.957599756705501,0.831424772314377,1.19108336768368
"Age_1:2",1.06978033225369,5.17511996354935e-14,2.20611866720912,3.85097341801574
"Sex_1:2",0.764108438187274,0.00266128689000055,1.30424815327629,3.53456462098481
"BMI_1:2",0.204863683848136,0.0792925236349478,0.976333494599146,1.54292262043295
"MedBenzo_1:2",-0.0690113681113722,0.883634734645221,0.370408125179664,2.35167326865346
"MedAntiDep_1:2",0.22955498512989,0.576984325700831,0.561553296067692,2.81836960151095
"MedSedative_1:2",-0.665890003127406,0.380014058571235,0.116184109492614,2.27231512134256
"MedAntiEplipetic_1:2",0.314762131091233,0.57162613950812,0.460305253417562,4.07711519130879
"MedStimulant_1:2",0.639192325975907,0.375750308584492,0.460616424082354,7.79571548644048
"hypoxia_burden_1:3",0.0535981007470477,0.345960139371989,0.943775869183973,1.17946715063607
"Age_1:3",1.4529091481333,8.80381916129647e-46,3.49876418930747,5.22475798903983
"Sex_1:3",0.493252741367866,0.000197289797968704,1.26306780765803,2.1232797668083
"BMI_1:3",0.322071887374814,6.13832643376443e-06,1.20017021194724,1.58673807644473
"MedBenzo_1:3",0.288062437285898,0.14454647220638,0.905840982193389,1.96406514563729
"MedAntiDep_1:3",0.0595737864577506,0.790407938078254,0.684036010682293,1.64689597426746
"MedSedative_1:3",0.706062407721378,0.00173875703012978,1.30233256477663,3.15178159344882
"MedAntiEplipetic_1:3",0.35910511649381,0.168510852691819,0.858963925573872,2.38748040666556
"MedStimulant_1:3",0.462733916896877,0.290383725040356,0.673631155933729,3.74544486155522
