"","coef","Pr(>|z|)","lower .95","upper .95"
"hypoxia_burden_1:2",0.0105965049406597,0.875016324130528,0.88563996710654,1.1533119716181
"Age_1:2",1.15468354413055,2.47405837745519e-26,2.56389977961725,3.92685023447248
"Sex_1:2",0.512546834184817,0.00302231151420745,1.18980420855411,2.34270186257619
"BMI_1:2",0.307313643956852,6.81310946991425e-05,1.16891899039112,1.58177542998546
"MedBenzo_1:2",-0.0177017626618022,0.952915314744437,0.545916382019393,1.76806536754689
"MedAntiDep_1:2",0.460404710436741,0.0869164714469459,0.935459396020355,2.68458716097899
"MedSedative_1:2",-0.443695771280565,0.358631365389837,0.248819559326363,1.65472654238602
"MedAntiEplipetic_1:2",0.273026204092508,0.421244120681128,0.675481991442274,2.55584064655685
"MedStimulant_1:2",-14.7433006502581,0,2.54195319772416e-07,6.15126185470077e-07
"hypoxia_burden_1:3",0.0329923861134978,0.594477298259138,0.915326649196763,1.16702649432667
"Age_1:3",1.3565940897159,8.05599913938743e-35,3.1286183361479,4.81914582914419
"Sex_1:3",0.471223937748997,0.0012622139697119,1.20296793186979,2.13327017472283
"BMI_1:3",0.281761570140596,0.000408834042882223,1.13372640545095,1.54962540746308
"MedBenzo_1:3",0.229828844277741,0.31157615366505,0.806282513870109,1.96399128580579
"MedAntiDep_1:3",-0.00380567228184639,0.988496424968369,0.593842921527402,1.67117854299858
"MedSedative_1:3",0.717392100440494,0.00704815999622472,1.21601220007604,3.45287557691645
"MedAntiEplipetic_1:3",0.234264586663421,0.422813718205212,0.712793334446418,2.24138264442706
"MedStimulant_1:3",0.718156270892258,0.0820811121190366,0.912676018458539,4.6075066643367
