"","coef","Pr(>|z|)","lower .95","upper .95"
"SO_DUR_F_1:2",0.0791085169833689,1.28143158074312e-10,1.05653280350524,1.10874021256261
"SO_DUR_C_1:2",0.111197152279292,3.71295933604592e-14,1.08590032111561,1.15025639834171
"SO_DUR_O_1:2",0.136168664469628,7.08781782201605e-10,1.09732126276612,1.19657742370783
"kurtosis_NREM_F_1:2",-0.185244846459253,1.33412480556504e-05,0.76442985752049,0.903151752826195
"kurtosis_NREM_O_1:2",-0.177638298170135,0.000232943030067252,0.761671376828146,0.920317540274063
"Age_1:2",-0.0876769135655121,0.0278025578229158,0.854706888335205,0.983230036325406
"Sex_1:2",-0.175512718378657,0.0146403729808332,0.729466228278901,0.965222228410398
"BMI_1:2",0.0639071320075696,0.0185439486481351,1.01076794770866,1.12423620682163
"MedBenzo_1:2",0.313038093996909,0.000154895948070677,1.162830857717,1.60836600711159
"MedAntiDep_1:2",0.109003830827863,0.224517233596298,0.935296334428425,1.3296284287819
"MedSedative_1:2",-0.15557739434235,0.238598408530992,0.660790234180983,1.10867326866224
"MedAntiEplipetic_1:2",0.331354879002717,0.000206995173571971,1.1691978503878,1.65929338869503
"MedStimulant_1:2",0.071790662222427,0.683498381702062,0.760835123099193,1.517281015212
"SO_DUR_F_1:3",0.0878700679757269,1.20071372502891e-18,1.07072058864085,1.11338872136675
"SO_DUR_C_1:3",0.0892403184024722,4.36559493433016e-24,1.07461467840511,1.11239848134707
"SO_DUR_O_1:3",0.12721320172536,3.49096315573487e-20,1.10530319393976,1.16684873061102
"kurtosis_NREM_F_1:3",-0.17014445626279,1.13375661762382e-09,0.798589284707634,0.891027123366132
"kurtosis_NREM_O_1:3",-0.00122812385184782,0.940488816647043,0.967083337621274,1.03150031398333
"Age_1:3",0.46415663116622,4.2211632720592e-57,1.51282249003941,1.67494836403788
"Sex_1:3",0.105310937421944,0.0043704998485736,1.03365776735081,1.19427256773849
"BMI_1:3",0.0721502474129649,0.000175601282951434,1.03505860393063,1.11610221197493
"MedBenzo_1:3",0.0406477359288279,0.485963511106515,0.928954217343529,1.16764779656332
"MedAntiDep_1:3",-0.0439258207330459,0.489877931482678,0.844840493819416,1.08410611759661
"MedSedative_1:3",0.137096462878876,0.0504878925280789,0.999708650612787,1.31585193818486
"MedAntiEplipetic_1:3",0.0741972771784791,0.324932786851482,0.929103137666204,1.24848408154801
"MedStimulant_1:3",0.19205290795915,0.139733683048161,0.939096804596169,1.56352443738876
