"","coef","Pr(>|z|)","lower .95","upper .95"
"AMP_F_1:2",0.00386677956339122,0.929900127068026,0.921010124398555,1.09419377011797
"DENS_F_1:2",0.0367552506475894,0.534118768434157,0.923935387579809,1.16488647735864
"DUR_F_1:2",0.0113426465006773,0.534026263184774,0.975889247814876,1.04821788267811
"FFT_F_1:2",0.0408508076636053,0.273699981405904,0.968219095452918,1.12075043744248
"COUPL_ANGLE_F_1:2",-0.0609977917641744,0.0485416888499841,0.885498079769015,0.999609483032229
"COUPL_OVERLAP_F_1:2",-0.0786673793543926,0.208528522020923,0.817693258870524,1.04491259748911
"SO_DUR_F_1:2",0.124053219157797,1.98856846072901e-06,1.07563933997227,1.19147402690098
"SO_P2P_F_1:2",-0.10679906781143,0.0884335264809801,0.794802961445897,1.01619260868045
"SO_RATE_F_1:2",0.0960017445523315,0.00207992914626561,1.03549811093129,1.17013708844702
"SO_SLOPE_POS1_F_1:2",-0.14192554508431,0.0466382167548386,0.754470512774113,0.997890221896755
"AMP_C_1:2",0.0228447281082074,0.0745825331550436,0.99773553888845,1.04912500175866
"DENS_C_1:2",0.0423956054438011,0.412419306640923,0.942723331388982,1.15462272112556
"DUR_C_1:2",0.0214296720141585,0.102383741300796,0.995724838879023,1.04827260335589
"FFT_C_1:2",-0.0193721027751959,0.505486514944638,0.926452827368251,1.03836560555288
"COUPL_ANGLE_C_1:2",-0.0320435329400108,0.303522731286108,0.911117740236293,1.02942056052151
"COUPL_OVERLAP_C_1:2",-0.100382314713931,0.0848159077832208,0.806909644483177,1.01387431953734
"SO_DUR_C_1:2",0.0711488358369679,0.00353200395294522,1.02362093362083,1.12631517308677
"SO_P2P_C_1:2",-0.0972298249224155,0.0877157537200592,0.811532423861809,1.01447505094132
"SO_RATE_C_1:2",0.0694690010276296,0.0346136668780136,1.00503941773384,1.14329133624476
"AMP_O_1:2",0.00894854056196288,0.759837778597122,0.952728540729608,1.06857110926174
"FFT_O_1:2",-0.00204990439647937,0.944640093627108,0.9418495013865,1.05739673109511
"COUPL_OVERLAP_O_1:2",-0.0767049586495537,0.0542709354911182,0.856572259289683,1.00140767153926
"SO_DUR_O_1:2",0.123264663367808,0.00101161601137892,1.05103027465266,1.21744990542547
"SO_P2P_O_1:2",-0.134088447372944,0.0621342677847454,0.759587971328141,1.00682542874532
"SO_RATE_O_1:2",0.0423165170974901,0.172971753508046,0.981624580530176,1.10869026677414
"SO_SLOPE_POS1_O_1:2",0.00388195551814732,0.896092567412248,0.947075469476539,1.06411174275423
"alpha_bandpower_mean_F_NREM_1:2",-0.179216003740078,0.000121237494215312,0.762919133273977,0.915917696853435
"alpha_bandpower_mean_C_NREM_1:2",-0.136672988251433,0.0014102676926106,0.802054091755479,0.948601248687251
"alpha_bandpower_mean_O_NREM_1:2",-0.0949500509005413,0.012176994215109,0.84435482177277,0.979495501738854
"delta_bandpower_kurtosis_F_NREM_1:2",-0.062987689459382,0.166850614665233,0.858737605706716,1.02666582609461
"delta_bandpower_kurtosis_C_NREM_1:2",-0.0444887066279079,0.333202881455084,0.87406806321766,1.04667619798726
"delta_bandpower_kurtosis_O_NREM_1:2",-0.0947507089650706,0.00130812324946242,0.858534670337902,0.963701959078644
"theta_bandpower_kurtosis_F_NREM_1:2",-0.0676405866098426,0.141085823092929,0.854090125013231,1.02269099609666
"theta_bandpower_kurtosis_C_NREM_1:2",-0.0660647410057721,0.133491269576415,0.858678763405369,1.02043694262967
