"","coef","Pr(>|z|)","lower .95","upper .95"
"DENS_F_1:2",0.0121968570152791,0.376990027350076,0.985247788498514,1.04003651337311
"DUR_F_1:2",4.50801055655933e-05,0.997314365676119,0.974135680800012,1.02664360210516
"FFT_F_1:2",0.0286564165857243,0.0657740070003533,0.99813275769731,1.06096812943108
"COUPL_ANGLE_F_1:2",0.0373212882590851,0.00379253252429395,1.01212639595265,1.06458932691575
"SO_DUR_F_1:2",0.0614039329749295,2.02629062156756e-09,1.0421972751053,1.08488784937713
"SO_RATE_F_1:2",0.00192549651033795,0.893592802940737,0.974053921568738,1.03059840466039
"SO_SLOPE_NEG1_F_1:2",-0.00845570572887894,0.621736642500943,0.958826170726816,1.02545259378284
"AMP_C_1:2",0.00699126830433956,0.735536896566525,0.966980707330725,1.04870835768191
"DENS_C_1:2",0.0151573911654714,0.444014318774514,0.976622978209824,1.0554522849557
"DUR_C_1:2",-0.026249551562295,0.136799007422819,0.940983967157262,1.00836486611648
"FFT_C_1:2",0.0253400571739958,0.0373330121941666,1.00148759417594,1.05042371991504
"COUPL_ANGLE_C_1:2",0.00967986641317823,0.440877585149094,0.985174422635699,1.03489120732313
"COUPL_OVERLAP_C_1:2",-0.0181940290843764,0.338591018770413,0.946051978485105,1.01925269592922
"SO_DUR_C_1:2",0.0602637219509029,0.00013184354921709,1.02980330042169,1.09544385740155
"SO_P2P_C_1:2",-0.0473898605810954,0.44484817377245,0.844543852441435,1.07699945895789
"SO_RATE_C_1:2",0.0144822694789549,0.363154920281309,0.983407840056348,1.04675603419484
"SO_SLOPE_NEG1_C_1:2",-0.02665833009246,0.690484426066986,0.853958268850688,1.11021788817844
"SO_SLOPE_POS1_C_1:2",-0.0406666152385254,0.2443098360027,0.89661814000604,1.02818178493505
"FFT_O_1:2",0.0263489628252671,0.0169546454115168,1.00473125598232,1.04914739219751
"SO_DUR_O_1:2",0.0554435307797111,2.31937841461819e-07,1.03503136741473,1.07945396856215
"alpha_bandpower_mean_F_NREM_1:2",0.0312812153515111,0.0317720184439374,1.0027323437074,1.06166009784208
"alpha_bandpower_mean_C_NREM_1:2",0.0165474061228649,0.311423884436189,0.984626615537144,1.0497873212281
"delta_bandpower_kurtosis_F_NREM_1:2",-0.0199654363559251,0.289856499097371,0.944654040477243,1.01715105958893
"delta_bandpower_kurtosis_C_NREM_1:2",-0.0296613722645446,0.113193980350739,0.935791178294513,1.00706502332619
"theta_bandpower_kurtosis_F_NREM_1:2",-0.0142991994730163,0.41843128525307,0.952242431094632,1.02054543355374
"theta_bandpower_kurtosis_C_NREM_1:2",-0.0301804967862235,0.0863863009710522,0.937370780625907,1.00432469568609
"alpha_bandpower_kurtosis_F_NREM_1:2",0.0290824774185778,0.0459458318518102,1.00052363019315,1.05933511539202
"alpha_bandpower_kurtosis_C_NREM_1:2",0.0278266825476895,0.0640481662672933,0.998376663844249,1.05895017910815
"sigma_bandpower_kurtosis_F_NREM_1:2",0.00901930500910956,0.602678310004459,0.975368619092204,1.04391536544147
"sigma_bandpower_kurtosis_C_NREM_1:2",0.0219050142584041,0.155938694793104,0.991681066331659,1.05354825494494
"delta_alpha_mean_F_NREM_1:2",-0.0254828413109468,0.160279323785346,0.940773225670472,1.01013852885446
"delta_alpha_mean_C_NREM_1:2",-0.044084096698678,0.0151531940377362,0.923430200237555,0.991527962272648
"delta_alpha_mean_O_NREM_1:2",-0.0454074184306768,0.000577197813772906,0.931217172495006,0.980637826222757
"theta_alpha_mean_F_NREM_1:2",-0.0302986545034673,0.142477499057238,0.931658432308934,1.0102438237803
"theta_alpha_mean_C_NREM_1:2",-0.059392858746576,0.00569278808357471,0.903486784766504,0.982856725521201
"alpha_bandpower_mean_F_R_1:2",-0.0287425583344769,0.179734963573944,0.931709793491981,1.0133369304095
"alpha_bandpower_mean_C_R_1:2",-0.0502150786595047,0.0188047616996058,0.91200765618473,0.991711279138995
