"","coef","Pr(>|z|)","lower .95","upper .95"
"DENS_F_1:2",-0.0700532694124626,0.595409262972929,0.719917346067829,1.20745197302931
"DUR_F_1:2",-0.155949154260522,0.141200274388834,0.695107521941971,1.05315500867001
"COUPL_ANGLE_F_1:2",-0.0319982310108845,0.640045805382273,0.846952962952081,1.10750934137878
"COUPL_OVERLAP_F_1:2",-0.183633657214208,0.213629349718689,0.623107201494709,1.1115655060951
"SO_DUR_F_1:2",0.0553045420881942,0.235285892503915,0.964615986538895,1.15793041008805
"DENS_C_1:2",-0.121982477875558,0.27939482783685,0.709630947654297,1.10411629322192
"COUPL_OVERLAP_C_1:2",-0.0720233384069615,0.580102870354083,0.72095175680481,1.20097818466872
"DENS_O_1:2",-0.0660253887972685,0.57324086275801,0.74396419588439,1.17787455709437
"COUPL_OVERLAP_O_1:2",-0.0454564133202738,0.693477754210699,0.762235019914547,1.19792095788505
"SO_DUR_O_1:2",-0.00472563710060647,0.946807527096025,0.866274559284949,1.14350956991276
"delta_bandpower_kurtosis_F_NREM_1:2",-0.125790424911634,0.190681900876649,0.730373712304526,1.06462017392468
"sigma_bandpower_kurtosis_F_NREM_1:2",-0.0022374544114612,0.975081735822277,0.867072052983957,1.14815727855296
"sigma_bandpower_kurtosis_O_NREM_1:2",-0.0544603540402996,0.532741846024664,0.798064159406114,1.12372108585935
"delta_alpha_mean_F_NREM_1:2",-0.0437931822034033,0.661863205735654,0.786585519377868,1.16470456650788
"theta_alpha_mean_F_NREM_1:2",-0.145617267854762,0.0938162967896229,0.72909815010742,1.02502026557844
"theta_alpha_mean_O_NREM_1:2",-0.258723825953345,0.00883890206786153,0.636099201067899,0.937023515359754
"delta_alpha_mean_F_R_1:2",0.0648583689470425,0.0781777367561212,0.992713443947385,1.14686252012
"kurtosis_NREM_F_1:2",0.134352580538833,0.334646116000502,0.870592269472118,1.50273486375355
"kurtosis_R_F_1:2",-0.12540807488524,0.121791777240814,0.752568864143656,1.03401224974375
"kurtosis_NREM_O_1:2",0.0483406193778292,0.203548784643041,0.974165488621549,1.13072081907689
"Age_1:2",0.211833577927329,0.0149186932794905,1.06710913331113,1.43652423901809
"Sex_1:2",0.09735120664427,0.437946038841387,0.86270090384203,1.4088206972579
"BMI_1:2",-0.0477002636701358,0.513359794642108,0.826350112148655,1.10002862626101
"MedBenzo_1:2",0.0842009698212152,0.694733462017079,0.714391177933493,1.65653245992916
"MedAntiDep_1:2",-0.159961728481458,0.54772825587611,0.505868379924127,1.43556041388183
"MedSedative_1:2",-0.0973666709159169,0.784135312440248,0.452027123316596,1.82080689507487
"MedAntiEplipetic_1:2",-4.71492000928969,0.986576514858449,0,Inf
"MedStimulant_1:2",0.327609296670939,0.35137213742588,0.6967053198059,2.76381323921457
"DENS_F_1:3",-0.0125006052471752,0.760207255340909,0.911397653429582,1.07012425120015
"DUR_F_1:3",-0.0167463356544958,0.326984871818132,0.951009352124782,1.01687958834827
"COUPL_ANGLE_F_1:3",-0.0620210485983049,0.00343086349344471,0.901620048020822,0.979728274442993
"COUPL_OVERLAP_F_1:3",-0.0812293556519498,0.0700309189842034,0.844419595199663,1.00666918654935
"SO_DUR_F_1:3",0.072559587182018,5.34259569526338e-09,1.04937181420112,1.10178044913325
"DENS_C_1:3",-0.057415348209118,0.0935305736044631,0.882924063315611,1.0097324392943
"COUPL_OVERLAP_C_1:3",-0.0997466058753968,0.0153696807385201,0.834925041000451,0.98110098647683
"DENS_O_1:3",-0.0382911575197388,0.288821752318137,0.896690076212152,1.03299533386522
"COUPL_OVERLAP_O_1:3",-0.0420664561231633,0.234827634004424,0.894521003914322,1.02771098333026
"SO_DUR_O_1:3",0.106227878404374,1.26230562428649e-09,1.07459040350838,1.15086770946246
"delta_bandpower_kurtosis_F_NREM_1:3",0.00693855110807536,0.815467677620448,0.949962297076872,1.06738324169651
"sigma_bandpower_kurtosis_F_NREM_1:3",-0.0338415240456582,0.135235565535483,0.924738111942551,1.0106176268506
"sigma_bandpower_kurtosis_O_NREM_1:3",-0.0331438816154678,0.231028194947213,0.916327730009406,1.02131747011041
"delta_alpha_mean_F_NREM_1:3",-0.0466551535190418,0.162814463298602,0.893888799371942,1.01904263152759
"theta_alpha_mean_F_NREM_1:3",-0.0138853788226745,0.521768165862516,0.945191932399531,1.02900931716948
"theta_alpha_mean_O_NREM_1:3",-0.0340955397375351,0.166450584916404,0.920912050583916,1.01430095527423
"delta_alpha_mean_F_R_1:3",0.0354191819499219,0.0180175798549928,1.00608762048431,1.06691275049449
"kurtosis_NREM_F_1:3",-0.141905887690387,0.00552996007850935,0.784935376367635,0.959197877844358
"kurtosis_R_F_1:3",-0.0470686684585711,0.0671319502396176,0.907140128578047,1.00332652775859
"kurtosis_NREM_O_1:3",-0.0253646547148657,0.168389833432526,0.940393138808904,1.01078569972322
"Age_1:3",0.421276471551226,3.2675491062128e-35,1.44671688896027,1.61237201088573
"Sex_1:3",0.0603327007731208,0.159329784247178,0.987313621442789,1.14405526880812
"BMI_1:3",0.0654096721568958,0.000750303897496855,1.02775175741914,1.10898556000866
"MedBenzo_1:3",0.0655422412966131,0.265618091214081,0.951368194258177,1.19834160916381
"MedAntiDep_1:3",-0.0589261114037286,0.361564748441331,0.830680989521101,1.06999847419033
"MedSedative_1:3",0.138939970058488,0.0529077222794009,0.998257969678186,1.32263173389237
"MedAntiEplipetic_1:3",0.0266187447815996,0.71787019379747,0.888892697561809,1.18651001834765
"MedStimulant_1:3",0.184891202440537,0.137680075990119,0.942499095830629,1.53572521751119
