"","coef","Pr(>|z|)","lower .95","upper .95"
"COUPL_OVERLAP_F_1:2",-0.109844080300222,0.0507623956886243,0.802476595970503,1.00036449411432
"DENS_C_1:2",0.00564292756311628,0.936314082267184,0.875663505813617,1.15495252906296
"DUR_C_1:2",-0.139962928872028,0.048353645213098,0.756605527470965,0.998987915897401
"FFT_C_1:2",-0.0507947550797062,0.205123578618827,0.878652906145188,1.02816516726779
"COUPL_ANGLE_C_1:2",-0.0369951593010143,0.360703003549475,0.890186240235558,1.04324313581764
"COUPL_OVERLAP_C_1:2",-0.112441498038227,0.149143124478981,0.767043347001995,1.04115322410056
"SO_DUR_C_1:2",0.0426756333559639,0.245596202003359,0.971065781341368,1.12155075883074
"SO_P2P_C_1:2",-0.213640694519164,0.167661708033762,0.596234976185917,1.09399818530864
"DUR_O_1:2",-0.0776518764356763,0.163220972176328,0.829605202143748,1.03200302530281
"FFT_O_1:2",-0.0507857391682154,0.20090189876295,0.879315415727007,1.02740903452892
"COUPL_ANGLE_O_1:2",-0.0421790500405332,0.272074299296906,0.889185398639681,1.03364502840327
"COUPL_OVERLAP_O_1:2",-0.0742120943015283,0.122031177766369,0.845119651339108,1.02005125275034
"SO_DUR_O_1:2",0.0809351551704968,0.0621056701586017,0.995911886563561,1.18053391083854
"SO_P2P_O_1:2",-0.248960902465565,0.133645631078715,0.563104541155628,1.07935989677913
"alpha_bandpower_mean_C_NREM_1:2",-0.0470736654673549,0.310559842432447,0.871047993182138,1.04488922129833
"delta_bandpower_kurtosis_O_NREM_1:2",0.0332347828169398,0.41594068768713,0.954240729202567,1.11997780518211
"theta_bandpower_kurtosis_C_NREM_1:2",0.0117417541957643,0.821126359051239,0.91389092644551,1.12022276128375
"theta_bandpower_kurtosis_O_NREM_1:2",0.103477364344194,0.00951380651587707,1.02558452505668,1.19924478194413
"alpha_bandpower_kurtosis_O_NREM_1:2",-0.00893974568998923,0.851772118929281,0.902389231017693,1.08853182706212
"delta_alpha_mean_F_NREM_1:2",-0.00558769033960496,0.919944577339875,0.891762250247624,1.1089130893883
"delta_alpha_mean_C_NREM_1:2",-0.0485914061325968,0.446660324421547,0.840515393857179,1.07956393845973
"delta_alpha_mean_O_NREM_1:2",-0.022496340379348,0.567707193634505,0.905147851350097,1.05618598951432
"delta_bandpower_kurtosis_C_R_1:2",-0.0763883857814715,0.0730375224793806,0.852221454779712,1.00715758484647
"delta_bandpower_kurtosis_O_R_1:2",-0.104440470610313,0.0284229167580774,0.820492171751031,0.98903057586634
"theta_bandpower_kurtosis_C_R_1:2",0.063750547167811,0.0796984028183117,0.992479030732574,1.14459457199015
"theta_bandpower_kurtosis_O_R_1:2",0.0309577703199751,0.497303932943629,0.943236975807914,1.12789523124108
"alpha_bandpower_kurtosis_O_R_1:2",-0.0332602767678835,0.514529386334066,0.875225417542021,1.06903166443728
"theta_alpha_mean_O_R_1:2",0.0539872623427539,0.048536714174787,1.0003469486304,1.11363299159009
"kurtosis_NREM_C_1:2",-0.0440299595943908,0.482298782538677,0.846323494465403,1.08198107781091
"kurtosis_NREM_F_1:2",-0.0690148401755897,0.227010514947281,0.834450672432268,1.0438877532154
"Age_1:2",0.264652618230694,1.10529385166791e-06,1.18131303396896,1.43850001152294
"Sex_1:2",0.219836328902061,0.00585309629548598,1.06578742536171,1.45646409980297
"BMI_1:2",0.0543754335068619,0.170481202863737,0.976892843101289,1.14125573658644
"MedBenzo_1:2",-0.0313428889565054,0.82117509195643,0.738510122176413,1.27180187328703
"MedAntiDep_1:2",0.0563227236954293,0.675583770889282,0.812649187230092,1.37726715596082
