"Xname","coef","Pr(>|z|)","lower .95","upper .95","N"
"alpha_bandpower_kurtosis_C_NREM",0.0032478691078071,0.966746597771341,0.861183971438405,1.1687594226784,7884
"alpha_bandpower_kurtosis_C_R",,,,,
"alpha_bandpower_kurtosis_C_W",,,,,
"alpha_bandpower_kurtosis_F_NREM",-0.00812483581002717,0.918011058507226,0.849742836656757,1.15785811850399,7884
"alpha_bandpower_kurtosis_F_R",-0.101961409617254,0.162261643334073,0.782736189760448,1.04189038694606,7479
"alpha_bandpower_kurtosis_F_W",,,,,
"alpha_bandpower_kurtosis_O_NREM",-0.0520786567362922,0.432537336404672,0.833492377336955,1.08109391062466,7884
"alpha_bandpower_kurtosis_O_R",-0.0256440766099256,0.681482588021283,0.862343712748781,1.10165456079417,7479
"alpha_bandpower_kurtosis_O_W",,,,,
"alpha_bandpower_mean_C_NREM",,,,,
"alpha_bandpower_mean_C_R",,,,,
"alpha_bandpower_mean_C_W",,,,,
"alpha_bandpower_mean_F_NREM",-0.0360703751793227,0.580956699386647,0.848617420398944,1.0963714744782,7884
"alpha_bandpower_mean_F_R",-0.0506985154733754,0.475485360365602,0.82700067175221,1.09259187519067,7479
"alpha_bandpower_mean_F_W",,,,,
"alpha_bandpower_mean_O_NREM",-0.0619344779903735,0.337180982834414,0.828271207394216,1.06667429970482,7884
"alpha_bandpower_mean_O_R",-0.0470313059056639,0.499577658862092,0.832299823387071,1.09362725305916,7479
"alpha_bandpower_mean_O_W",,,,,
"AMP_C",,,,,
"AMP_F",0.0569735007373217,0.353927289739797,0.938487027603165,1.19414834226361,7884
"AMP_O",-0.586545588494884,0.278764856084339,0.192443470212558,1.60779174833042,7884
"COUPL_ANGLE_C",,,,,
"COUPL_ANGLE_F",0.0839227406266297,0.236725157428177,0.946396758342161,1.24974417807425,7870
"COUPL_ANGLE_O",0.108437686090139,0.098505244625891,0.979999090143344,1.26754125962196,7865
"COUPL_OVERLAP_C",0.0784929342155267,0.290204824807466,0.935231044038271,1.25100539337547,7884
"COUPL_OVERLAP_F",0.0208110598003233,0.795932836933648,0.872048694154026,1.19546129798397,7884
"COUPL_OVERLAP_O",0.103025414244537,0.114195570673232,0.975497926534496,1.25968044403419,7884
"delta_alpha_mean_C_NREM",-0.0824545255015363,0.340082790277468,0.777357803211948,1.09083721700994,7884
"delta_alpha_mean_C_R",,,,,
"delta_alpha_mean_C_W",,,,,
"delta_alpha_mean_F_NREM",-0.05530889323766,0.521269134122471,0.799057707043645,1.12042079578065,7884
"delta_alpha_mean_F_R",-0.0536519532626898,0.41028487093802,0.834132931021633,1.07686990077737,7479
"delta_alpha_mean_F_W",,,,,
"delta_alpha_mean_O_NREM",0.0107089362869503,0.869156287944437,0.889846595855727,1.14811798601795,7884
"delta_alpha_mean_O_R",-0.0281720276044191,0.65947450660833,0.857716741701878,1.10201168780645,7479
"delta_alpha_mean_O_W",,,,,
"delta_bandpower_kurtosis_C_NREM",,,,,
"delta_bandpower_kurtosis_C_R",,,,,
"delta_bandpower_kurtosis_C_W",,,,,
"delta_bandpower_kurtosis_F_NREM",0.00419825806041552,0.946814586586056,0.887672187745141,1.13604084892253,7884
"delta_bandpower_kurtosis_F_R",0.00554546689613442,0.929886283787529,0.888712134939703,1.13777299359074,7479
"delta_bandpower_kurtosis_F_W",,,,,
"delta_bandpower_kurtosis_O_NREM",0.0362324376852278,0.530299419018751,0.92595570557423,1.16113009999506,7884
"delta_bandpower_kurtosis_O_R",0.0327551894723429,0.589449266522351,0.917399352504732,1.1638375544737,7479
"delta_bandpower_kurtosis_O_W",,,,,
"delta_bandpower_mean_C_NREM",,,,,
"delta_bandpower_mean_C_R",,,,,
"delta_bandpower_mean_C_W",,,,,
"delta_bandpower_mean_F_NREM",,,,,
"delta_bandpower_mean_F_R",,,,,
"delta_bandpower_mean_F_W",,,,,
"delta_bandpower_mean_O_NREM",,,,,
"delta_bandpower_mean_O_R",,,,,
