"Xname","coef","Pr(>|z|)","lower .95","upper .95","N"
"alpha_bandpower_kurtosis_C_NREM",,,,,
"alpha_bandpower_kurtosis_C_R",,,,,
"alpha_bandpower_kurtosis_C_W",,,,,
"alpha_bandpower_kurtosis_F_NREM",,,,,
"alpha_bandpower_kurtosis_F_R",0.0714182393116446,0.381451133722762,0.915289902207479,1.26030141359857,7988
"alpha_bandpower_kurtosis_F_W",,,,,
"alpha_bandpower_kurtosis_O_NREM",,,,,
"alpha_bandpower_kurtosis_O_R",0.0695575701986941,0.368805749926954,0.921145233547594,1.24763867452307,7988
"alpha_bandpower_kurtosis_O_W",,,,,
"alpha_bandpower_mean_C_NREM",-0.385864669030781,5.27076350053416e-05,0.56388167829016,0.819698656529521,8447
"alpha_bandpower_mean_C_R",-0.0465676323208177,0.600001285208543,0.802024368247165,1.13596331039228,7988
"alpha_bandpower_mean_C_W",,,,,
"alpha_bandpower_mean_F_NREM",-0.35475340193709,0.00029912834410317,0.578662476019346,0.850040834965394,8447
"alpha_bandpower_mean_F_R",0.0235826789855406,0.747773132397048,0.886787214053167,1.18212725908337,7988
"alpha_bandpower_mean_F_W",,,,,
"alpha_bandpower_mean_O_NREM",-0.414379328942727,1.16656937191098e-05,0.549005081601617,0.795240196121351,8447
"alpha_bandpower_mean_O_R",,,,,
"alpha_bandpower_mean_O_W",,,,,
"AMP_C",0.083415006695276,0.006158000539223,1.02401439257836,1.15384452459235,8447
"AMP_F",-0.0273461532436245,0.82478758638927,0.763807285359639,1.23954882108333,8447
"AMP_O",-0.00328349069258551,0.974312504124378,0.816160653729966,1.21722914425463,8447
"COUPL_ANGLE_C",-0.188886588394939,0.0210215637659164,0.705168889809512,0.971945805296819,8421
"COUPL_ANGLE_F",-0.209563152018706,0.00946972947521691,0.692209532152791,0.950031889582875,8433
"COUPL_ANGLE_O",,,,,
"COUPL_OVERLAP_C",-0.375948493159482,0.00091069223885416,0.549851516813116,0.857452084459747,8447
"COUPL_OVERLAP_F",-0.321040996868994,0.00954904925767601,0.569029561274114,0.924724798785285,8447
"COUPL_OVERLAP_O",-0.29111462288307,0.00409738510285982,0.612698809308215,0.911788299894939,8447
"delta_alpha_mean_C_NREM",-0.41902081007615,0.000689790057047177,0.5163219902497,0.837765605933116,8447
"delta_alpha_mean_C_R",0.0806174426663387,0.206610374379089,0.956482164225967,1.22841905624166,7988
"delta_alpha_mean_C_W",,,,,
"delta_alpha_mean_F_NREM",-0.480887060453143,0.000245268096880792,0.478114809122869,0.799419266315709,8447
"delta_alpha_mean_F_R",0.0880431307393273,0.15575856541148,0.967032368692206,1.23319649183015,7988
"delta_alpha_mean_F_W",,,,,
"delta_alpha_mean_O_NREM",-0.154546620941197,0.108215502312113,0.709550045171315,1.03461668675309,8447
"delta_alpha_mean_O_R",0.0409583421083395,0.527785338094302,0.917424784278369,1.18305652582677,7988
"delta_alpha_mean_O_W",,,,,
"delta_bandpower_kurtosis_C_NREM",-0.350633235064622,3.52703463027484e-05,0.596442470974381,0.831524942560506,8447
"delta_bandpower_kurtosis_C_R",-0.262095795834569,0.00357497557209914,0.645056464819741,0.917801476754284,7988
"delta_bandpower_kurtosis_C_W",,,,,
"delta_bandpower_kurtosis_F_NREM",-0.453507439248221,2.00473437800912e-08,0.542317183352592,0.744449217849299,8447
"delta_bandpower_kurtosis_F_R",-0.310596088390696,0.00033070453634373,0.618679869492612,0.868467718695263,7988
"delta_bandpower_kurtosis_F_W",,,,,
"delta_bandpower_kurtosis_O_NREM",-0.19897334453891,0.00693745798524381,0.709340503820052,0.946932864993936,8447
"delta_bandpower_kurtosis_O_R",,,,,
"delta_bandpower_kurtosis_O_W",,,,,
"delta_bandpower_mean_C_NREM",,,,,
"delta_bandpower_mean_C_R",,,,,
"delta_bandpower_mean_C_W",,,,,
"delta_bandpower_mean_F_NREM",,,,,
"delta_bandpower_mean_F_R",,,,,
"delta_bandpower_mean_F_W",,,,,
"delta_bandpower_mean_O_NREM",,,,,
"delta_bandpower_mean_O_R",,,,,
"delta_bandpower_mean_O_W",,,,,
"delta_theta_mean_C_NREM",,,,,
"delta_theta_mean_C_R",,,,,
"delta_theta_mean_C_W",,,,,
"delta_theta_mean_F_NREM",,,,,
"delta_theta_mean_F_R",,,,,
"delta_theta_mean_F_W",,,,,
"delta_theta_mean_O_NREM",,,,,
"delta_theta_mean_O_R",,,,,
"delta_theta_mean_O_W",,,,,
"DENS_C",-0.257115842741012,0.00621472605804028,0.64320741114001,0.929653217675762,8447
"DENS_F",-0.185611847372537,0.0833150238005759,0.673220769408258,1.02475982763421,8447
"DENS_O",,,,,
"DUR_C",0.0855200417405545,0.0103777828027696,1.02032490238429,1.16290243027659,8447
"DUR_F",0.0293591245393559,0.559578914871598,0.933081144923785,1.13653181634652,8447
"DUR_O",,,,,
"FFT_C",-0.0410121078995321,0.627086097655115,0.813454896887558,1.13251472596049,8447
"FFT_F",0.103917106294414,0.194670159994657,0.948255651733356,1.29818268372456,8447
"FFT_O",-0.0144837502640817,0.863514204581529,0.835586217936419,1.16259461279862,8447
"kurtosis_NREM_C",-0.672160229348075,1.43779095771022e-07,0.397483614914626,0.655918396983304,8447
"kurtosis_NREM_F",-0.776893090006217,6.26885680766683e-10,0.359463850998275,0.588225724476673,8447
"kurtosis_NREM_O",,,,,
"kurtosis_R_C",-0.301546180183338,0.00885332872270466,0.59018024260479,0.927033971321728,7988
"kurtosis_R_F",-0.26855808614856,0.00807618874152969,0.62671024943595,0.932538160955477,7988
"kurtosis_R_O",-0.135008875413835,0.209626419375202,0.707566361028091,1.07886127137263,7988
"kurtosis_W_C",,,,,
"kurtosis_W_F",,,,,
"kurtosis_W_O",,,,,
"NREMPercTST",,,,,
"REMPercTST",,,,,
"sigma_bandpower_kurtosis_C_NREM",,,,,
"sigma_bandpower_kurtosis_F_NREM",-0.0682054853629511,0.409862252534455,0.794206267249323,1.0985609524845,8447
"sigma_bandpower_kurtosis_O_NREM",-0.283069318815184,0.00113166593205022,0.635408680163222,0.893461761742756,8447
"SleepEfficiency",,,,,
"SO_AMP_C",,,,,
"SO_AMP_F",,,,,
"SO_AMP_O",,,,,
"SO_DUR_C",0.148228783817002,0.00479415154506138,1.04626478810795,1.28560714162924,8447
"SO_DUR_F",0.191204476378214,0.00143154783701235,1.07644176684655,1.36171918940632,8447
"SO_DUR_O",0.231056796703719,0.000390139425458621,1.10890143056078,1.43152995416926,8447
"SO_NEG_DUR_C",,,,,
"SO_NEG_DUR_F",,,,,
"SO_NEG_DUR_O",,,,,
"SO_P2P_C",0.00317025278459383,0.975032295927394,0.822536293080008,1.22348479646682,8447
"SO_P2P_F",-0.11329572041261,0.443572771093894,0.668232167141682,1.1930680342998,8447
"SO_P2P_O",-0.0335198115985711,0.804259717293844,0.741854093565878,1.26056882985174,8447
"SO_RATE_C",-0.0775974225502045,0.305620424605408,0.797674190279442,1.07343115255877,8447
"SO_RATE_F",-0.0474341267930637,0.52669302651528,0.823418716238425,1.10453251917614,8447
"SO_RATE_O",-0.104797584910798,0.185117948486391,0.771207891537095,1.05148361455448,8447
"SO_SLOPE_NEG1_C",,,,,
"SO_SLOPE_NEG1_F",,,,,
"SO_SLOPE_NEG1_O",,,,,
"SO_SLOPE_POS1_C",,,,,
"SO_SLOPE_POS1_F",-0.294811891497371,0.167215443399246,0.490094644460422,1.13148731084478,8447
"SO_SLOPE_POS1_O",-0.0355797640449346,0.737722280626326,0.783625381338564,1.18846751499061,8447
"theta_alpha_mean_C_NREM",,,,,
