"Xname","coef","Pr(>|z|)","lower .95","upper .95","N"
"alpha_bandpower_kurtosis_C_NREM",,,,,
"alpha_bandpower_kurtosis_C_R",,,,,
"alpha_bandpower_kurtosis_C_W",,,,,
"alpha_bandpower_kurtosis_F_NREM",,,,,
"alpha_bandpower_kurtosis_F_R",,,,,
"alpha_bandpower_kurtosis_F_W",,,,,
"alpha_bandpower_kurtosis_O_NREM",0.0512435416663903,0.649105397957509,0.844094163584995,1.31255852598161,8213
"alpha_bandpower_kurtosis_O_R",-0.0501601232278904,0.673076219438376,0.753394893022889,1.2006289156335,7771
"alpha_bandpower_kurtosis_O_W",,,,,
"alpha_bandpower_mean_C_NREM",-0.0331057235164811,0.773063677594016,0.77250600219396,1.21155426684771,8213
"alpha_bandpower_mean_C_R",,,,,
"alpha_bandpower_mean_C_W",,,,,
"alpha_bandpower_mean_F_NREM",,,,,
"alpha_bandpower_mean_F_R",,,,,
"alpha_bandpower_mean_F_W",,,,,
"alpha_bandpower_mean_O_NREM",,,,,
"alpha_bandpower_mean_O_R",,,,,
"alpha_bandpower_mean_O_W",,,,,
"AMP_C",,,,,
"AMP_F",,,,,
"AMP_O",,,,,
"COUPL_ANGLE_C",-0.133854699666369,0.245742401069729,0.697765542328084,1.09654325084968,8187
"COUPL_ANGLE_F",,,,,
"COUPL_ANGLE_O",-0.133689791047444,0.235970911525151,0.701322241803365,1.0913421038265,8195
"COUPL_OVERLAP_C",-0.310895617031671,0.0396373946860539,0.544955001325121,0.985368910048881,8213
"COUPL_OVERLAP_F",-0.357693423465702,0.033412101314612,0.502941287618283,0.972286264752574,8213
"COUPL_OVERLAP_O",-0.270394076845257,0.0511001604630873,0.581536843942677,1.0012936311834,8213
"delta_alpha_mean_C_NREM",-0.201350186117011,0.215571680347434,0.594507808580339,1.12448039292149,8213
"delta_alpha_mean_C_R",,,,,
"delta_alpha_mean_C_W",,,,,
"delta_alpha_mean_F_NREM",-0.132741223395902,0.415900682624317,0.636014895339353,1.20568859128465,8213
"delta_alpha_mean_F_R",,,,,
"delta_alpha_mean_F_W",,,,,
"delta_alpha_mean_O_NREM",0.0143824054397891,0.901949301292872,0.807004740875796,1.27531160766395,8213
"delta_alpha_mean_O_R",,,,,
"delta_alpha_mean_O_W",,,,,
"delta_bandpower_kurtosis_C_NREM",,,,,
"delta_bandpower_kurtosis_C_R",-0.205793863181241,0.104777072614544,0.634797875523302,1.04379270431494,7771
"delta_bandpower_kurtosis_C_W",,,,,
"delta_bandpower_kurtosis_F_NREM",,,,,
"delta_bandpower_kurtosis_F_R",,,,,
"delta_bandpower_kurtosis_F_W",,,,,
"delta_bandpower_kurtosis_O_NREM",0.066487663281843,0.506715942650121,0.878289219253829,1.30050761230611,8213
"delta_bandpower_kurtosis_O_R",-0.21605912848119,0.107673182926734,0.619223634196053,1.04830076219299,7771
"delta_bandpower_kurtosis_O_W",,,,,
"delta_bandpower_mean_C_NREM",,,,,
"delta_bandpower_mean_C_R",,,,,
"delta_bandpower_mean_C_W",,,,,
"delta_bandpower_mean_F_NREM",,,,,
"delta_bandpower_mean_F_R",,,,,
"delta_bandpower_mean_F_W",,,,,
"delta_bandpower_mean_O_NREM",,,,,
"delta_bandpower_mean_O_R",,,,,
"delta_bandpower_mean_O_W",,,,,
"delta_theta_mean_C_NREM",,,,,
"delta_theta_mean_C_R",,,,,
"delta_theta_mean_C_W",,,,,
"delta_theta_mean_F_NREM",,,,,
"delta_theta_mean_F_R",,,,,
"delta_theta_mean_F_W",,,,,
"delta_theta_mean_O_NREM",,,,,
"delta_theta_mean_O_R",,,,,
"delta_theta_mean_O_W",,,,,
"DENS_C",-0.169197001248118,0.186620487864947,0.656848414224748,1.08535596202389,8213
"DENS_F",,,,,
"DENS_O",,,,,
"DUR_C",-0.403026224281969,0.0638845155295777,0.436345681000555,1.02354086789667,8213
"DUR_F",,,,,
"DUR_O",-0.233152357429352,0.171289662742897,0.567123926521299,1.10613584270953,8213
"FFT_C",-0.109990818437862,0.348613140478664,0.711774569662219,1.1275108286477,8213
"FFT_F",,,,,
"FFT_O",-0.115024764676017,0.326134379201869,0.708490995012522,1.12138934204708,8213
"kurtosis_NREM_C",-0.258912062319153,0.0907872407516715,0.571803641481354,1.0419932923465,8213
"kurtosis_NREM_F",-0.251439331411784,0.0995042699075457,0.576598099233638,1.04888860007344,8213
"kurtosis_NREM_O",,,,,
"kurtosis_R_C",,,,,
"kurtosis_R_F",,,,,
"kurtosis_R_O",,,,,
"kurtosis_W_C",,,,,
"kurtosis_W_F",,,,,
"kurtosis_W_O",,,,,
"NREMPercTST",,,,,
"REMPercTST",,,,,
"sigma_bandpower_kurtosis_C_NREM",,,,,
"sigma_bandpower_kurtosis_F_NREM",,,,,
"sigma_bandpower_kurtosis_O_NREM",,,,,
"SleepEfficiency",,,,,
"SO_AMP_C",,,,,
"SO_AMP_F",,,,,
"SO_AMP_O",,,,,
"SO_DUR_C",0.0647004071819824,0.535926619537899,0.869212034423707,1.30939997725898,8213
"SO_DUR_F",,,,,
"SO_DUR_O",0.0894100216813495,0.418543654150001,0.880542685222644,1.35803244036864,8213
"SO_NEG_DUR_C",,,,,
"SO_NEG_DUR_F",,,,,
"SO_NEG_DUR_O",,,,,
"SO_P2P_C",-0.519766253225545,0.222340296125987,0.258060737322836,1.37029740378469,8213
"SO_P2P_F",,,,,
"SO_P2P_O",-0.427056689503959,0.30191061633987,0.290007775549857,1.46775520927429,8213
"SO_RATE_C",,,,,
"SO_RATE_F",,,,,
"SO_RATE_O",,,,,
"SO_SLOPE_NEG1_C",,,,,
"SO_SLOPE_NEG1_F",,,,,
"SO_SLOPE_NEG1_O",,,,,
"SO_SLOPE_POS1_C",,,,,
"SO_SLOPE_POS1_F",,,,,
"SO_SLOPE_POS1_O",,,,,
"theta_alpha_mean_C_NREM",,,,,
"theta_alpha_mean_C_R",,,,,
"theta_alpha_mean_C_W",,,,,
"theta_alpha_mean_F_NREM",,,,,
"theta_alpha_mean_F_R",,,,,
"theta_alpha_mean_F_W",,,,,
"theta_alpha_mean_O_NREM",,,,,
"theta_alpha_mean_O_R",0.101577496633127,0.0638135190911664,0.994181310698824,1.23243350861742,7771
"theta_alpha_mean_O_W",,,,,
"theta_bandpower_kurtosis_C_NREM",-0.0369921301462968,0.777122162974348,0.745930548159211,1.24500372490287,8213
"theta_bandpower_kurtosis_C_R",0.117655167476515,0.245990978313713,0.922089026412184,1.37221172664428,7771
"theta_bandpower_kurtosis_C_W",,,,,
"theta_bandpower_kurtosis_F_NREM",,,,,
"theta_bandpower_kurtosis_F_R",,,,,
"theta_bandpower_kurtosis_F_W",,,,,
"theta_bandpower_kurtosis_O_NREM",0.250200212838062,0.00629191980518376,1.07327538072748,1.53677390056962,8213
"theta_bandpower_kurtosis_O_R",0.100843518130004,0.354449512373106,0.893505660104437,1.36928628728328,7771
"theta_bandpower_kurtosis_O_W",,,,,
"theta_bandpower_mean_C_NREM",,,,,
"theta_bandpower_mean_C_R",,,,,
"theta_bandpower_mean_C_W",,,,,
"theta_bandpower_mean_F_NREM",,,,,
"theta_bandpower_mean_F_R",,,,,
"theta_bandpower_mean_F_W",,,,,
"theta_bandpower_mean_O_NREM",,,,,
"theta_bandpower_mean_O_R",,,,,
"theta_bandpower_mean_O_W",,,,,
"TotalSleepTime",,,,,
"WASO",,,,,
