"Xname","coef","Pr(>|z|)","lower .95","upper .95","N"
"alpha_bandpower_kurtosis_C_NREM",-0.000715847424157331,0.991149228181422,0.880562043559773,1.13401359602215,8315
"alpha_bandpower_kurtosis_C_R",0.0492350220533816,0.355424733480444,0.946307588173377,1.16609161959679,7868
"alpha_bandpower_kurtosis_C_W",,,,,
"alpha_bandpower_kurtosis_F_NREM",0.0149912707863729,0.816592637270788,0.894316807164589,1.1522052764076,8315
"alpha_bandpower_kurtosis_F_R",0.0790910500529348,0.121558089020801,0.979188628420511,1.19627562005555,7868
"alpha_bandpower_kurtosis_F_W",,,,,
"alpha_bandpower_kurtosis_O_NREM",0.0177530627714727,0.734050886032185,0.918820973750758,1.12768866259493,8315
"alpha_bandpower_kurtosis_O_R",-0.0157802408804533,0.765405138912371,0.887424340025084,1.09184784352351,7868
"alpha_bandpower_kurtosis_O_W",,,,,
"alpha_bandpower_mean_C_NREM",-0.170729559889165,0.00240637747201454,0.755036517706818,0.941322049015123,8315
"alpha_bandpower_mean_C_R",-0.0142344441224605,0.790879883402683,0.88741113064107,1.09524491934254,7868
"alpha_bandpower_mean_C_W",,,,,
"alpha_bandpower_mean_F_NREM",-0.153783893162496,0.00677434423314196,0.767130360857374,0.958419930469086,8315
"alpha_bandpower_mean_F_R",0.0137401110192402,0.779139783779295,0.921006742138382,1.11601928506927,7868
"alpha_bandpower_mean_F_W",,,,,
"alpha_bandpower_mean_O_NREM",-0.202772463974469,0.000330530497453507,0.730904330695986,0.912039274590692,8315
"alpha_bandpower_mean_O_R",-0.086617938315393,0.160302394910813,0.812588387246689,1.03488955384294,7868
"alpha_bandpower_mean_O_W",,,,,
"AMP_C",0.0681920687179015,0.00511426682599856,1.02066480520626,1.12291721199129,8315
"AMP_F",,,,,
"AMP_O",0.0742049366036048,0.00997662839321797,1.01791832370887,1.13956907938959,8315
"COUPL_ANGLE_C",-0.160588993006492,0.00227411556160736,0.768187346566198,0.944163101006165,8289
"COUPL_ANGLE_F",-0.151369657124957,0.00389482861234271,0.77557604441123,0.952571535766645,8301
"COUPL_ANGLE_O",-0.0269135640172345,0.604267082062992,0.879243891690761,1.07773953741975,8295
"COUPL_OVERLAP_C",-0.161632446315779,0.0138575334041554,0.747993151200746,0.967631994042014,8315
"COUPL_OVERLAP_F",-0.203157892226928,0.00576373875369808,0.706537995669558,0.942765703095698,8315
"COUPL_OVERLAP_O",-0.124590337117215,0.0366636552791064,0.785482250391354,0.992306491591257,8315
"delta_alpha_mean_C_NREM",-0.288860726726537,0.000160200760189181,0.644778819699038,0.870338104242685,8315
"delta_alpha_mean_C_R",0.0744302447047578,0.0667087381083338,0.99488506670061,1.1664775290862,7868
"delta_alpha_mean_C_W",,,,,
"delta_alpha_mean_F_NREM",-0.376590901544008,3.50239823143985e-06,0.58525811300831,0.804544103659719,8315
"delta_alpha_mean_F_R",0.0805364325307484,0.0414518748756559,1.00312593778571,1.17110974920856,7868
"delta_alpha_mean_F_W",,,,,
"delta_alpha_mean_O_NREM",-0.0726305385394474,0.219657804028422,0.828112390104389,1.04429844961768,8315
"delta_alpha_mean_O_R",0.0618194131726457,0.0542190840921591,0.998880479741253,1.13287536743916,7868
"delta_alpha_mean_O_W",,,,,
"delta_bandpower_kurtosis_C_NREM",-0.179969624407568,0.000662748275962247,0.753085530322237,0.926480039688759,8315
"delta_bandpower_kurtosis_C_R",-0.0939676863383726,0.0772614041564167,0.820198633798178,1.01032631117208,7868
"delta_bandpower_kurtosis_C_W",,,,,
"delta_bandpower_kurtosis_F_NREM",-0.26987855136914,1.22461748132516e-07,0.690821624074341,0.843763132490239,8315
"delta_bandpower_kurtosis_F_R",-0.0826712596903995,0.120244749466785,0.829479924670494,1.02184912326803,7868
"delta_bandpower_kurtosis_F_W",,,,,
"delta_bandpower_kurtosis_O_NREM",-0.0627329497128841,0.17387748224314,0.858000557193544,1.02807141108765,8315
"delta_bandpower_kurtosis_O_R",0.00132786335109815,0.978163121723266,0.910506904329908,1.10120994305485,7868
"delta_bandpower_kurtosis_O_W",,,,,
"delta_bandpower_mean_C_NREM",,,,,
"delta_bandpower_mean_C_R",,,,,
"delta_bandpower_mean_C_W",,,,,
"delta_bandpower_mean_F_NREM",,,,,
"delta_bandpower_mean_F_R",,,,,
"delta_bandpower_mean_F_W",,,,,
"delta_bandpower_mean_O_NREM",,,,,
"delta_bandpower_mean_O_R",,,,,
"delta_bandpower_mean_O_W",,,,,
"delta_theta_mean_C_NREM",,,,,
"delta_theta_mean_C_R",,,,,
"delta_theta_mean_C_W",,,,,
"delta_theta_mean_F_NREM",,,,,
"delta_theta_mean_F_R",,,,,
"delta_theta_mean_F_W",,,,,
"delta_theta_mean_O_NREM",,,,,
"delta_theta_mean_O_R",,,,,
"delta_theta_mean_O_W",,,,,
"DENS_C",-0.16057507225905,0.00566746190492576,0.760073821209562,0.954268283688275,8315
"DENS_F",-0.164831082986866,0.0137077362749311,0.743861787479475,0.966801445465937,8315
"DENS_O",-0.163471363428129,0.00209236128360767,0.765210057763798,0.942388348958087,8315
"DUR_C",0.0720904703999092,0.00346932806622688,1.02403194589603,1.12798540877047,8315
"DUR_F",0.0388979812536692,0.209822829601182,0.978342147077319,1.1048303447269,8315
"DUR_O",0.0795944002487637,0.00223591511180617,1.02897448728441,1.13954166993832,8315
"FFT_C",-0.0545280442537776,0.307723481589103,0.852736729670819,1.05153219210351,8315
"FFT_F",-0.0024576273698242,0.961782514759942,0.902142263202154,1.10303756507899,8315
"FFT_O",0.0201211929655742,0.705844809508984,0.919097461909901,1.13270150969024,8315
"kurtosis_NREM_C",-0.409824604079383,5.73855302203475e-08,0.572444512527364,0.769657445913186,8315
"kurtosis_NREM_F",-0.527094890227514,3.55716362369686e-12,0.508820251833227,0.684867893284553,8315
"kurtosis_NREM_O",-0.0632828485940082,0.211313399404363,0.850006279410601,1.03659970770133,8315
"kurtosis_R_C",-0.108430639338437,0.081455461846132,0.794210117668148,1.01363810418867,7868
"kurtosis_R_F",-0.102329537879604,0.0821117590647093,0.804374369193507,1.0131166879356,7868
"kurtosis_R_O",0.00353799869536843,0.950954105620164,0.896551307005086,1.12330558613313,7868
"kurtosis_W_C",,,,,
"kurtosis_W_F",,,,,
"kurtosis_W_O",,,,,
"NREMPercTST",,,,,
"REMPercTST",,,,,
"sigma_bandpower_kurtosis_C_NREM",-0.0409726273070145,0.45877982667226,0.861252876718292,1.06974666833798,8315
"sigma_bandpower_kurtosis_F_NREM",0.0185997218792479,0.718836146356709,0.920664637951602,1.12733775154391,8315
"sigma_bandpower_kurtosis_O_NREM",-0.151500643525709,0.00498465111521157,0.773177904427721,0.955275805899763,8315
"SleepEfficiency",,,,,
"SO_AMP_C",,,,,
"SO_AMP_F",,,,,
"SO_AMP_O",,,,,
"SO_DUR_C",0.211463762215151,4.20468446142529e-11,1.16024939409422,1.31559962134215,8315
"SO_DUR_F",0.212019764611299,9.36111570469683e-12,1.16305800577787,1.31388287641145,8315
"SO_DUR_O",0.241759180868088,5.33678329424542e-09,1.17418124606761,1.38119251716199,8315
"SO_NEG_DUR_C",,,,,
"SO_NEG_DUR_F",,,,,
"SO_NEG_DUR_O",,,,,
"SO_P2P_C",0.0911228879929695,0.0854587972920866,0.987358912056434,1.21527141936341,8315
"SO_P2P_F",0.0464760424408903,0.430306891003545,0.933303874659241,1.17583263213148,8315
"SO_P2P_O",0.130631157401778,0.00475097500272985,1.04075925196329,1.24771242915969,8315
"SO_RATE_C",-0.127583540378703,0.00813696837271018,0.800854304960524,0.967450671541986,8315
"SO_RATE_F",-0.138873581181116,0.00258911267930691,0.795154088640546,0.952630854425565,8315
"SO_RATE_O",-0.172082540451063,0.000922912956070557,0.760419278473199,0.932133004971858,8315
"SO_SLOPE_NEG1_C",-0.0527074971643347,0.39911207870528,0.839271102915663,1.07230067543767,8315
"SO_SLOPE_NEG1_F",,,,,
"SO_SLOPE_NEG1_O",-0.0902494910365831,0.0975715725504217,0.821176922975421,1.01665488539467,8315
"SO_SLOPE_POS1_C",0.0143234765880819,0.63874704200093,0.955541410851329,1.07694047777803,8315
"SO_SLOPE_POS1_F",-0.151579712264664,0.167388203542399,0.692974316614609,1.06566915574963,8315
"SO_SLOPE_POS1_O",-0.0688308269170449,0.431269695328901,0.786435736744944,1.10802883668725,8315
"theta_alpha_mean_C_NREM",0.0278863888747464,0.513115199902731,0.945835480407496,1.1179083711842,8315
"theta_alpha_mean_C_R",0.107045225233888,1.50126218809191e-07,1.06940316620107,1.15834208557597,7868
"theta_alpha_mean_C_W",,,,,
"theta_alpha_mean_F_NREM",0.0170436348880519,0.711181696219681,0.929438913055411,1.11322528474041,8315
"theta_alpha_mean_F_R",0.0956636080522901,5.04251839752343e-05,1.05065066536274,1.15248163698555,7868
"theta_alpha_mean_F_W",,,,,
"theta_alpha_mean_O_NREM",-0.0191715697381702,0.710084386150705,0.88669775225068,1.08535591784765,8315
"theta_alpha_mean_O_R",0.106735550543026,0.0003268870492752,1.04970786280988,1.17934500225106,7868
"theta_alpha_mean_O_W",,,,,
"theta_bandpower_kurtosis_C_NREM",-0.396347870033048,4.39523041110218e-09,0.589359860234851,0.767990875848097,8315
"theta_bandpower_kurtosis_C_R",-0.131793811397341,0.0151922296181365,0.788050902534946,0.974924712699646,7868
"theta_bandpower_kurtosis_C_W",,,,,
