"Xname","coef","Pr(>|z|)","lower .95","upper .95","N"
"alpha_bandpower_kurtosis_C_NREM",-0.141345531555187,0.154751201185856,0.714598525282741,1.05479172880106,8077
"alpha_bandpower_kurtosis_C_R",,,,,
"alpha_bandpower_kurtosis_C_W",,,,,
"alpha_bandpower_kurtosis_F_NREM",-0.188581779571793,0.0669355146844095,0.6768374667933,1.0132475355919,8077
"alpha_bandpower_kurtosis_F_R",,,,,
"alpha_bandpower_kurtosis_F_W",,,,,
"alpha_bandpower_kurtosis_O_NREM",-0.114930920724646,0.168134805643829,0.757013841227696,1.0497078632128,8077
"alpha_bandpower_kurtosis_O_R",-0.0635304728616014,0.424645024309991,0.802927048259097,1.09683687850805,7647
"alpha_bandpower_kurtosis_O_W",,,,,
"alpha_bandpower_mean_C_NREM",,,,,
"alpha_bandpower_mean_C_R",,,,,
"alpha_bandpower_mean_C_W",,,,,
"alpha_bandpower_mean_F_NREM",,,,,
"alpha_bandpower_mean_F_R",,,,,
"alpha_bandpower_mean_F_W",,,,,
"alpha_bandpower_mean_O_NREM",-0.201921349827654,0.0205415934630647,0.688817428003901,0.969413843251191,8077
"alpha_bandpower_mean_O_R",-0.0998178342101078,0.284184983465373,0.75390151345696,1.08638738916415,7647
"alpha_bandpower_mean_O_W",,,,,
"AMP_C",,,,,
"AMP_F",,,,,
"AMP_O",,,,,
"COUPL_ANGLE_C",,,,,
"COUPL_ANGLE_F",,,,,
"COUPL_ANGLE_O",-0.0727235808318671,0.355305716882365,0.796980561262767,1.08488916392425,8058
"COUPL_OVERLAP_C",-0.223791599574531,0.0262427293005142,0.656299169997966,0.973901941021478,8077
"COUPL_OVERLAP_F",-0.321312886064464,0.00481119822551022,0.580027742539853,0.906697476495583,8077
"COUPL_OVERLAP_O",-0.1384765405131,0.125895739772566,0.729196971204021,1.03962316770497,8077
"delta_alpha_mean_C_NREM",-0.17296141466356,0.116165923979749,0.677912899350447,1.04374336158222,8077
"delta_alpha_mean_C_R",,,,,
"delta_alpha_mean_C_W",,,,,
"delta_alpha_mean_F_NREM",-0.178578401042903,0.114786508414654,0.669972999543371,1.04431489183356,8077
"delta_alpha_mean_F_R",,,,,
"delta_alpha_mean_F_W",,,,,
"delta_alpha_mean_O_NREM",-0.0233638319140788,0.786338125627581,0.825062520074094,1.15669690752434,8077
"delta_alpha_mean_O_R",-0.246033918033073,0.0331044579587525,0.623541056778184,0.980466138455554,7647
"delta_alpha_mean_O_W",,,,,
"delta_bandpower_kurtosis_C_NREM",,,,,
"delta_bandpower_kurtosis_C_R",,,,,
"delta_bandpower_kurtosis_C_W",,,,,
"delta_bandpower_kurtosis_F_NREM",,,,,
"delta_bandpower_kurtosis_F_R",,,,,
"delta_bandpower_kurtosis_F_W",,,,,
"delta_bandpower_kurtosis_O_NREM",0.00829865291015212,0.908607354239132,0.875124750441474,1.16181813595321,8077
"delta_bandpower_kurtosis_O_R",0.0130016175881711,0.866351289605298,0.870736958529317,1.17870759799409,7647
"delta_bandpower_kurtosis_O_W",,,,,
"delta_bandpower_mean_C_NREM",,,,,
"delta_bandpower_mean_C_R",,,,,
"delta_bandpower_mean_C_W",,,,,
"delta_bandpower_mean_F_NREM",,,,,
"delta_bandpower_mean_F_R",,,,,
"delta_bandpower_mean_F_W",,,,,
"delta_bandpower_mean_O_NREM",,,,,
"delta_bandpower_mean_O_R",,,,,
"delta_bandpower_mean_O_W",,,,,
"delta_theta_mean_C_NREM",,,,,
"delta_theta_mean_C_R",,,,,
"delta_theta_mean_C_W",,,,,
"delta_theta_mean_F_NREM",,,,,
"delta_theta_mean_F_R",,,,,
"delta_theta_mean_F_W",,,,,
"delta_theta_mean_O_NREM",,,,,
"delta_theta_mean_O_R",,,,,
"delta_theta_mean_O_W",,,,,
"DENS_C",-0.163380518964063,0.0612146776170378,0.715736276942139,1.00771205612617,8077
"DENS_F",-0.276968098683966,0.00627594710641063,0.621515308829542,0.924648641090249,8077
"DENS_O",-0.08072608915665,0.30789804229713,0.789860962467872,1.07728734896886,8077
"DUR_C",,,,,
"DUR_F",,,,,
"DUR_O",-0.138650181629619,0.214373645949933,0.69941189385439,1.0835200920111,8077
"FFT_C",,,,,
"FFT_F",,,,,
"FFT_O",0.0395277765278482,0.626718344014342,0.88712738929621,1.21996508794057,8077
"kurtosis_NREM_C",-0.214686412996144,0.041951851188078,0.656023501135415,0.992216290967409,8077
"kurtosis_NREM_F",-0.214368814317861,0.040448520819328,0.657435471924768,0.990714412484608,8077
"kurtosis_NREM_O",-0.0803023960614826,0.314394819355128,0.789191097637373,1.07911579017928,8077
"kurtosis_R_C",,,,,
"kurtosis_R_F",,,,,
"kurtosis_R_O",-0.14527544150565,0.138071325444494,0.713713957683081,1.04783081143132,7647
"kurtosis_W_C",,,,,
"kurtosis_W_F",,,,,
"kurtosis_W_O",,,,,
"NREMPercTST",,,,,
"REMPercTST",,,,,
"sigma_bandpower_kurtosis_C_NREM",-0.238094836404441,0.00778047944434827,0.661374982279858,0.939173197164275,8077
