"","coef","Pr(>|z|)","lower .95","upper .95"
"RED_1:2",0.121873758068958,0.113787487280357,0.971246326660762,1.31379865209835
"Age_1:2",1.17613870530477,1.67833399132296e-47,2.76465056308667,3.80137621212055
"Sex_1:2",0.460237050453868,0.00105272952161555,1.20308624881355,2.08670021065986
"BMI_1:2",0.336380462781304,6.32228956737681e-07,1.22632452566566,1.59797854364675
"MedBenzo_1:2",0.0396863414371559,0.869069343880558,0.649088563248703,1.66788906406479
"MedAntiDep_1:2",-0.353756808168133,0.202441930977958,0.407497246273367,1.20950052798462
"MedSedative_1:2",0.310721382433727,0.323285548774999,0.736498959992776,2.52765051237839
"MedAntiEplipetic_1:2",-1.10492629772263,0.0295256961470186,0.122459704646209,0.895942223603994
"MedStimulant_1:2",0.550755555632832,0.302773274176694,0.608503946270907,4.94443643821554
"RED_1:3",-0.232359839357706,0.00449162146490195,0.675272470642973,0.930455833498891
"Age_1:3",1.37856154269364,2.27673726654227e-30,3.13504242142041,5.02527601020361
"Sex_1:3",0.645898820568612,2.80000877992189e-05,1.41016153793159,2.58078438365634
"BMI_1:3",0.309127584282672,0.000193182006722881,1.15788649752228,1.60265048239567
"MedBenzo_1:3",0.339420482394342,0.150712730094074,0.883805273568296,2.23079825692883
"MedAntiDep_1:3",0.100624693747595,0.685669051486107,0.679326315465102,1.80020954486158
"MedSedative_1:3",0.669100144671578,0.0105640256757471,1.16904644020395,3.26092820791504
"MedAntiEplipetic_1:3",0.400310033490885,0.14237871005343,0.874133722539637,2.54757514033291
"MedStimulant_1:3",0.572036558429693,0.235229667901699,0.689003231536311,4.5566259876066
