"","coef","Pr(>|z|)","lower .95","upper .95"
"RED_1:2",-0.155041571690423,0.0992756344494122,0.712204436957455,1.0297408151973
"Age_1:2",1.74604842573477,5.01574254187261e-54,4.59479250315036,7.15043542730968
"Sex_1:2",0.1872398261418,0.257282084207049,0.872222761847067,1.66727420300578
"BMI_1:2",0.0480127508644551,0.63020860761791,0.862903800065614,1.27567770072105
"MedBenzo_1:2",0.268553655054933,0.281065841736199,0.802720005225942,2.13156536264531
"MedAntiDep_1:2",0.694498337869391,0.00582429837052749,1.22246344257778,3.280935639426
"MedSedative_1:2",-0.268869365557906,0.483852954931777,0.360032225729548,1.6222644867376
"MedAntiEplipetic_1:2",0.769132529573869,0.00609286841043459,1.24546643882013,3.73876352973065
"MedStimulant_1:2",-0.00373363841486384,0.995085911740774,0.303645904136357,3.26880922974466
"RED_1:3",-0.16691983692546,0.0208450877130201,0.734549077762403,0.974977187035125
"Age_1:3",1.41597415817224,7.75809179026551e-44,3.37402527332324,5.03212239099558
"Sex_1:3",0.509332528335316,0.000102690434191734,1.28700802057824,2.15188649313026
"BMI_1:3",0.312329140446731,8.7078444278558e-06,1.19085748829422,1.56828811971024
"MedBenzo_1:3",0.453107029059801,0.0146741323029638,1.09328910591564,2.26375146442217
"MedAntiDep_1:3",0.0943944144685088,0.657771318722273,0.723798763316154,1.66867634671075
"MedSedative_1:3",0.651510309478827,0.00384220290627714,1.23342055383663,2.98389463326211
"MedAntiEplipetic_1:3",0.222028852692254,0.394831977422962,0.748712436100825,2.08226866782091
"MedStimulant_1:3",0.559728310387833,0.123733354377962,0.858156870645455,3.56949805141495
