"","coef","Pr(>|z|)","lower .95","upper .95"
"RED_1:2",-0.139386572628515,0.0449622124979121,0.759084836309688,0.996873486536128
"Age_1:2",0.765554367372584,2.71087293482385e-21,1.83522391471945,2.51920213000479
"Sex_1:2",0.161840035605569,0.213252552117376,0.911187255996445,1.51692752515733
"BMI_1:2",0.495594265965244,5.85951877896884e-22,1.48401037247012,1.81564431220948
"MedBenzo_1:2",0.20019010189395,0.337172679788779,0.81170100660962,1.83859819161086
"MedAntiDep_1:2",0.125044738300439,0.551896292621037,0.75057591324809,1.71087332992148
"MedSedative_1:2",0.28343338188764,0.277734847729854,0.79583221661709,2.21495848858266
"MedAntiEplipetic_1:2",0.410549960949984,0.0814004111670991,0.950083471115169,2.39241988003505
"MedStimulant_1:2",0.166767814717941,0.726570847956434,0.463967462780102,3.00860489706513
"RED_1:3",-0.133828927886575,0.0879306940234131,0.750104417104364,1.02008402725345
"Age_1:3",1.46554217053742,9.37889679672145e-39,3.4726994504905,5.39866720885389
"Sex_1:3",0.43015689792013,0.00232814746992935,1.16563218441417,2.02800024885142
"BMI_1:3",0.264582937281232,0.00110856189592693,1.1113557372334,1.52742791525402
"MedBenzo_1:3",0.0972505488270979,0.658415385137163,0.716133415734575,1.69619904548675
"MedAntiDep_1:3",-0.0675090231070235,0.783617034550252,0.577329941580557,1.51334632354943
"MedSedative_1:3",0.972012886166282,3.3977726654378e-05,1.66929126778696,4.18550190612656
"MedAntiEplipetic_1:3",0.20830129684972,0.482841105987667,0.68833119193468,2.20358982012696
"MedStimulant_1:3",0.594817508893996,0.160231995820177,0.790280957888491,4.15786520898224
