"","coef","Pr(>|z|)","lower .95","upper .95"
"RED_1:2",0.0575833151888211,0.22550387586928,0.965089149043268,1.16264947383825
"Age_1:2",0.562744056994248,1.51651771869938e-34,1.60442848806394,1.92075915865028
"Sex_1:2",0.215081984284158,0.0147526499254559,1.04310376184406,1.47397570823798
"BMI_1:2",0.375660046069023,6.86318604447029e-21,1.34599090033011,1.57489660336544
"MedBenzo_1:2",0.409245346197719,0.00285450626779902,1.15067840782597,1.97020776982702
"MedAntiDep_1:2",0.00432925223351747,0.976094334741708,0.756666325769586,1.3330791438526
"MedSedative_1:2",-0.00612194377479749,0.975878652402876,0.66834100749589,1.47803404665777
"MedAntiEplipetic_1:2",0.331704392969105,0.0587139350416703,0.98785524243557,1.96526656706583
"MedStimulant_1:2",0.502557642911748,0.0866076251453642,0.930286658686809,2.9369681007978
"RED_1:3",0.0409602967074119,0.771966622703574,0.789735267380625,1.3743461457816
"Age_1:3",0.958179263409748,1.72289079611275e-07,1.8200993188547,3.73395299409346
"Sex_1:3",0.188040859893124,0.492379342932706,0.705538036281236,2.06447573947981
"BMI_1:3",0.351774251291885,0.0145520969356011,1.07207147008804,1.885052689124
"MedBenzo_1:3",0.16098489195066,0.702484953816562,0.514240367905173,2.68326480761047
"MedAntiDep_1:3",0.207137240939483,0.622318360635334,0.539518545042239,2.80485712613917
"MedSedative_1:3",0.836785954867264,0.0361699165611485,1.05542198847383,5.05122725071404
"MedAntiEplipetic_1:3",0.748210413869039,0.0858780844768328,0.899784289572381,4.9630528749468
"MedStimulant_1:3",-0.0786190962910545,0.940541913352556,0.11712801197303,7.2954409837668
