"","coef","Pr(>|z|)","lower .95","upper .95"
"RED_1:2",-0.282172905905608,0.062393256647167,0.560484351445033,1.01471536436491
"Age_1:2",0.884752547501286,0.000342883430384027,1.49248868229678,3.93165364345879
"Sex_1:2",0.354526887900301,0.375821789828969,0.650460293067293,3.12404550873362
"BMI_1:2",-0.151992330257254,0.593588588246328,0.49153122669411,1.50117051546483
"MedBenzo_1:2",0.392199061210706,0.530539240759009,0.434554647519735,5.04214553839341
"MedAntiDep_1:2",-0.148831994541841,0.835749416025412,0.21102685687983,3.51875023866189
"MedSedative_1:2",-0.150765864346233,0.865865426734917,0.149543771225575,4.94627325968045
"MedAntiEplipetic_1:2",-14.0137799888537,0,4.0364599047721e-07,1.66642095280178e-06
"MedStimulant_1:2",0.988219716136832,0.407785130813913,0.258832720013458,27.882875719404
"RED_1:3",-0.14501002778655,0.0374887618307298,0.75455640943149,0.991640322077616
"Age_1:3",1.52055830124634,1.10926322795114e-56,3.79129233782565,5.52017551118049
"Sex_1:3",0.500031848811903,5.3732689088899e-05,1.2935269993638,2.10158348716652
"BMI_1:3",0.304907182193209,6.34481139937759e-06,1.18831213973543,1.54849026560358
"MedBenzo_1:3",0.317320201210061,0.0880686178056452,0.95379415408511,1.97772620724865
"MedAntiDep_1:3",0.100054619207058,0.61148799245356,0.751252592380568,1.62599930028521
"MedSedative_1:3",0.590603080183243,0.00666368870154785,1.1781703196352,2.76556098383194
"MedAntiEplipetic_1:3",0.253591475989227,0.304240203397915,0.794381613817782,2.09043935845133
"MedStimulant_1:3",0.467380054713698,0.240365214585967,0.731359659365486,3.48201113627251
