"","coef","Pr(>|z|)","lower .95","upper .95"
"RED_1:2",-0.0444994801246124,0.659112827402589,0.784891898824806,1.16557009462846
"Age_1:2",1.16546511776542,9.00692508466069e-27,2.5914240931658,3.96982759977363
"Sex_1:2",0.52234619373644,0.00209604413940918,1.20870276465601,2.35171464505622
"BMI_1:2",0.312001567970517,1.52345638994978e-05,1.18604038442037,1.57362643183617
"MedBenzo_1:2",-0.0172830466806919,0.954015903497977,0.546228159474094,1.76853659595445
"MedAntiDep_1:2",0.458240907406369,0.0870266735506967,0.935581344972184,2.67264601461733
"MedSedative_1:2",-0.449342050072113,0.352260056199677,0.247558893505914,1.64447744572107
"MedAntiEplipetic_1:2",0.273044933418247,0.419022773166117,0.677610208377261,2.54790878168501
"MedStimulant_1:2",-14.7364418263916,0,2.56152594756746e-07,6.18857280167417e-07
"RED_1:3",-0.201921292014685,0.00897151456477363,0.702316715295301,0.950780770051901
"Age_1:3",1.41529689299193,8.64718635692472e-39,3.32793454573436,5.09490963736757
"Sex_1:3",0.53630342396698,0.000195392576563871,1.28931601635914,2.26708528280682
"BMI_1:3",0.296094486029911,0.000159732363258315,1.15301582158171,1.5680111122021
"MedBenzo_1:3",0.212828015229549,0.341867981900148,0.797686527273938,1.91879159852534
"MedAntiDep_1:3",-0.0268281159087629,0.9173569233129,0.586503103250852,1.61594687948012
"MedSedative_1:3",0.677277604056817,0.0106619930339023,1.17051526547413,3.31053947141532
"MedAntiEplipetic_1:3",0.240394793179395,0.409705779941605,0.718117451302702,2.25220948671053
"MedStimulant_1:3",0.710094736155933,0.0832066209336093,0.910931609018646,4.54249731080139
