"","coef","Pr(>|z|)","lower .95","upper .95"
"REMPercTST_1:2",-0.105097131820231,0.393356133791344,0.707210235717845,1.14594890357479
"Age_1:2",-0.168547235748437,0.112574632764167,0.686093758950002,1.04044292742746
"Sex_1:2",-0.472635603752789,0.0247331226348881,0.412646971553182,0.941662484315267
"BMI_1:2",0.194634644447052,0.0197685757615619,1.03144490373207,1.43090720259095
"MedBenzo_1:2",1.08653574500925,1.82476564545616e-05,1.80324913233157,4.87188720660629
"MedAntiDep_1:2",0.397426307028332,0.144014028695532,0.873080041458152,2.53598128263418
"MedSedative_1:2",-0.361306686708539,0.362001958509351,0.320407325753282,1.51520209519585
"MedAntiEplipetic_1:2",1.13780237047676,3.24737175203372e-05,1.82419204605609,5.33595335194506
"MedStimulant_1:2",0.206679583557615,0.705221219451532,0.421399424170043,3.58777886761229
"REMPercTST_1:3",-0.262551609601447,3.07946557330849e-05,0.679751044012698,0.870163147014975
"Age_1:3",1.45583859997038,5.15907414816553e-59,3.59551804918642,5.11403702337755
"Sex_1:3",0.350709578171761,0.00128116129510012,1.14711391411865,1.75798806151029
"BMI_1:3",0.230373744065049,0.000160748298353929,1.117091220854,1.41909494457884
"MedBenzo_1:3",0.290937636117852,0.0840413087921143,0.961643434889147,1.86076337289592
"MedAntiDep_1:3",-0.0341878851997635,0.861143732269019,0.658847138521532,1.41749036687572
"MedSedative_1:3",0.582824819481756,0.00428486657191238,1.20070531691803,2.67176817414421
"MedAntiEplipetic_1:3",0.313625353664475,0.171577531010068,0.872850293051469,2.14521961295133
"MedStimulant_1:3",0.359800245252774,0.363149483644553,0.65989926632882,3.11200923199271
