"","coef","Pr(>|z|)","lower .95","upper .95"
"REMPercTST_1:2",-0.099642845188268,0.114077312342512,0.799924398317364,1.02424152955075
"Age_1:2",0.749225439673875,4.11867915895766e-24,1.82987306170602,2.44538917022848
"Sex_1:2",0.13870055912637,0.235125002633151,0.913684096087594,1.4443675057212
"BMI_1:2",0.465634451649119,1.82076747960422e-22,1.45069742368584,1.74931534621101
"MedBenzo_1:2",0.150568134984488,0.433168230837529,0.797757877659835,1.69398951885439
"MedAntiDep_1:2",0.0136918098282211,0.944553453339475,0.689241522500639,1.4911492754001
"MedSedative_1:2",0.273094367632571,0.267021618661184,0.811281459083726,2.12831155555677
"MedAntiEplipetic_1:2",0.518788670593975,0.0143454885277218,1.10905695384594,2.54483872361989
"MedStimulant_1:2",0.0970882595612043,0.836220574519361,0.438943577981204,2.76643895479146
"REMPercTST_1:3",-0.315068664370628,7.24529153211315e-06,0.635900290833612,0.837424787412926
"Age_1:3",1.42183527302557,8.37203163187216e-43,3.38255288737696,5.07862131221312
"Sex_1:3",0.258158509326666,0.0386487882995926,1.01356683959742,1.65341258374365
"BMI_1:3",0.20135887405917,0.00518156072594104,1.06203256890635,1.40851105664789
"MedBenzo_1:3",0.134721135877107,0.484642645041603,0.784185931624312,1.66954544510593
"MedAntiDep_1:3",-0.267450736080681,0.243710523697182,0.488161863832808,1.19986226109127
"MedSedative_1:3",0.929432328979598,1.44636483450847e-05,1.66425439017537,3.85544890818904
"MedAntiEplipetic_1:3",0.206762484268591,0.441524145997065,0.726300938447773,2.08197258569822
"MedStimulant_1:3",0.612946258600685,0.113598399512882,0.863868578038149,3.94412507001288
