"","coef","Pr(>|z|)","lower .95","upper .95"
"REMPercTST_1:2",-0.119071540547272,0.322843395585262,0.701081539913736,1.1241059383117
"Age_1:2",0.959309622638012,2.38742362216849e-14,2.03972666794458,3.33944101665221
"Sex_1:2",0.756881046662229,0.00130041849630405,1.34391923251219,3.38100143408704
"BMI_1:2",0.18467080426267,0.0891492723470136,0.972143284563829,1.48823920837683
"MedBenzo_1:2",-0.096963313541754,0.825114164674628,0.384042423563808,2.14486288526277
"MedAntiDep_1:2",0.114682084850532,0.764993319377868,0.528748784732532,2.37882344997688
"MedSedative_1:2",-0.358287034472672,0.558019237198156,0.2107529481215,2.3175129921284
"MedAntiEplipetic_1:2",0.324414525928361,0.522342803316908,0.511967955357472,3.73714628566194
"MedStimulant_1:2",0.536232757130431,0.458115286422072,0.41466132742739,7.04810428326116
"REMPercTST_1:3",-0.238252606771722,0.00055563617832314,0.688313157217624,0.902132531222816
"Age_1:3",1.42119586387584,3.64797824450039e-53,3.45460421725639,4.96634337910754
"Sex_1:3",0.31563103362953,0.00679856310749698,1.09096788674858,1.72322372538011
"BMI_1:3",0.292419455932528,2.23329921219715e-06,1.18682017742859,1.51219358358607
"MedBenzo_1:3",0.243111672521816,0.169552530632576,0.901433567778183,1.80397447938782
"MedAntiDep_1:3",-0.136092229585007,0.52680271925804,0.572612341214502,1.33024332208751
"MedSedative_1:3",0.59050187007212,0.00752229620808146,1.17056383949282,2.78296858227168
"MedAntiEplipetic_1:3",0.410201193258267,0.0716115456714025,0.964580047605708,2.3548212981696
"MedStimulant_1:3",0.508627892016579,0.200088220500423,0.763834674533813,3.6206721733796
