"","coef","Pr(>|z|)","lower .95","upper .95"
"REMPercTST_1:2",-0.0542148156753828,0.490860443928655,0.811841442450039,1.10519367870345
"Age_1:2",1.2069167726465,2.64219564733929e-35,2.76249974549128,4.04587389556333
"Sex_1:2",0.406259261097336,0.00652370885265642,1.12024055074822,2.01168983438836
"BMI_1:2",0.307537212808834,4.59228506441121e-06,1.19244343414738,1.55126374429557
"MedBenzo_1:2",-0.0841218213101803,0.75961184675382,0.536360868070656,1.57570759885993
"MedAntiDep_1:2",0.32015780227832,0.211561313633377,0.833494461356038,2.27605533057319
"MedSedative_1:2",-0.461564117155326,0.305409765690596,0.260739473677705,1.52364474176198
"MedAntiEplipetic_1:2",0.2652867163334,0.397638995731291,0.705092290757765,2.41089972697791
"MedStimulant_1:2",-14.6410914290928,0,2.81566140037547e-07,6.81285489975163e-07
"REMPercTST_1:3",-0.27221003475477,0.000538328937860338,0.652877325243177,0.888648029824613
"Age_1:3",1.34944467521894,3.74505806169272e-39,3.14997950256016,4.71851157103141
"Sex_1:3",0.364575156960518,0.00488382609976648,1.11706067950235,1.85604795466427
"BMI_1:3",0.236990291192502,0.00068767630462891,1.10533818033984,1.45328897826004
"MedBenzo_1:3",0.249436381499965,0.208057398311891,0.870315111860883,1.89226154496043
"MedAntiDep_1:3",-0.176865807678798,0.470564195515655,0.518257439389802,1.35466143221124
"MedSedative_1:3",0.540633849401621,0.0354200289921835,1.0375858734164,2.84161047339549
"MedAntiEplipetic_1:3",0.33242720784134,0.191550243459513,0.846659751131945,2.29632677355687
"MedStimulant_1:3",0.725803047065885,0.0563086934587803,0.980671701328452,4.35412480442641
