"","coef","Pr(>|z|)","lower .95","upper .95"
"SleepEfficiency_1:2",-0.057406306510316,0.420214342355879,0.821195854894335,1.0856523259989
"Age_1:2",0.758026173702039,4.85584986849522e-23,1.83624190742131,2.48018041627874
"Sex_1:2",0.135303928477364,0.244756570501929,0.91148157744217,1.43805535540482
"BMI_1:2",0.47423342739121,2.47657230783569e-24,1.46655235175284,1.76042022992156
"MedBenzo_1:2",0.1671744894811,0.383688398374217,0.811429984394907,1.72168963394052
"MedAntiDep_1:2",0.0446699234098996,0.821407432844142,0.709510211871497,1.54113666180679
"MedSedative_1:2",0.271626521427076,0.272774220144469,0.807500460820715,2.13200893258753
"MedAntiEplipetic_1:2",0.53838990511123,0.0107425288588839,1.13284559999652,2.59100832039096
"MedStimulant_1:2",0.101489967140288,0.829815726768732,0.438686100461566,2.79253864037352
"SleepEfficiency_1:3",-0.282393334676087,5.91827783229307e-05,0.656908406926358,0.865389150657529
"Age_1:3",1.4001555541422,1.49060178531973e-38,3.28318289190978,5.01030986527856
"Sex_1:3",0.253668961959843,0.0416309903637347,1.00966251172976,1.64496942218669
"BMI_1:3",0.222588343816435,0.00187050533577063,1.08579537852728,1.43744021237958
"MedBenzo_1:3",0.192778729424902,0.310517016541108,0.835442880659524,1.76006503063502
"MedAntiDep_1:3",-0.205583062321456,0.371146950929316,0.518855946139394,1.27757387616644
"MedSedative_1:3",0.943199874334233,1.21133606557876e-05,1.68321558525872,3.91844051110257
"MedAntiEplipetic_1:3",0.282979098648876,0.299309690221752,0.777719595125483,2.26448516899996
"MedStimulant_1:3",0.57194649282767,0.141172032373198,0.827051525947999,3.79536758652646
