"","coef","Pr(>|z|)","lower .95","upper .95"
"SleepEfficiency_1:2",-0.0971151072922099,0.058905662363617,0.820464988249488,1.00366050937543
"Age_1:2",0.590667577855971,1.21890265508583e-40,1.6552227229109,1.96875148949507
"Sex_1:2",0.209535915761759,0.00923781156130832,1.05313415703863,1.4438327387801
"BMI_1:2",0.379517175117467,7.63668489329377e-24,1.35748944828236,1.57364935241178
"MedBenzo_1:2",0.375160866320837,0.00403848729102398,1.12683875813265,1.87931167517602
"MedAntiDep_1:2",0.10568612398052,0.43349393929079,0.853179637454615,1.44796251575327
"MedSedative_1:2",0.0712545183084068,0.695109002705396,0.751958600799927,1.53354652820015
"MedAntiEplipetic_1:2",0.262998300617851,0.117324665109804,0.935998057377922,1.80785033493475
"MedStimulant_1:2",0.371603591318428,0.194528062305126,0.827111214795334,2.54218334345233
"SleepEfficiency_1:3",-0.445385937182887,0.000359073465347712,0.501570064419973,0.818108833666136
"Age_1:3",0.923124168730758,1.2459276627661e-08,1.83186102412523,3.45878002955736
"Sex_1:3",0.0319435604004191,0.899134946995139,0.630028267323722,1.69194323680916
"BMI_1:3",0.345019232690566,0.00875373152807197,1.09097101379198,1.82753913581618
"MedBenzo_1:3",0.0708624784249853,0.861596848673337,0.483947442762428,2.38096037296776
"MedAntiDep_1:3",0.382180061169159,0.31948999471961,0.690554624634057,3.10999252542818
"MedSedative_1:3",0.667481049327928,0.0982175915836293,0.883657723012349,4.30014000357624
"MedAntiEplipetic_1:3",0.708938245982017,0.102292212294081,0.86804856658556,4.755891215996
"MedStimulant_1:3",-0.413814872083234,0.704580160453419,0.0778476054402917,5.61461149728934
