"","coef","Pr(>|z|)","lower .95","upper .95"
"SleepEfficiency_1:2",-0.152266125950813,0.242342323514704,0.665295015887414,1.10848304208943
"Age_1:2",0.939928381155187,6.82707631272686e-12,1.95703474129473,3.34821149684177
"Sex_1:2",0.753101399390792,0.00130494479260378,1.34174588920819,3.36097506726153
"BMI_1:2",0.188257445438762,0.0846558912166798,0.974597144172729,1.49517905620909
"MedBenzo_1:2",-0.0790616690880933,0.857081133970471,0.390821394721145,2.1844875631669
"MedAntiDep_1:2",0.154527811166257,0.685218680218611,0.552861879208288,2.46379463826871
"MedSedative_1:2",-0.357504114418,0.558434373150304,0.211204458707101,2.31618257174031
"MedAntiEplipetic_1:2",0.346223294696164,0.492636636605629,0.525821698920823,3.80090687105534
"MedStimulant_1:2",0.520679754285966,0.473726785657046,0.405041402054693,6.99450959955564
"SleepEfficiency_1:3",-0.241378306139926,0.000298662310676584,0.689219875157288,0.895331108450875
"Age_1:3",1.39310359847697,1.00622320133829e-48,3.34336453466467,4.85121675735298
"Sex_1:3",0.312014834367912,0.00725856796220653,1.0878814333182,1.71565941107202
"BMI_1:3",0.307086546436373,3.94829807158365e-07,1.20732405401412,1.53076361842463
"MedBenzo_1:3",0.279992367385979,0.110811334145531,0.937852349551919,1.86665393216912
"MedAntiDep_1:3",-0.0598235786899581,0.778517090269521,0.620818343528299,1.42913534130097
"MedSedative_1:3",0.596360927933834,0.00659476232878118,1.18069966679152,2.79159929369339
"MedAntiEplipetic_1:3",0.449378404437695,0.049617443294417,1.00075182324864,2.45470175245377
"MedStimulant_1:3",0.465753560460478,0.246792940892075,0.72438268868549,3.50413104699639
