"","coef","Pr(>|z|)","lower .95","upper .95"
"SleepEfficiency_1:2",-0.0416105198886363,0.614158737674703,0.81596864323475,1.12767536242772
"Age_1:2",1.20565719647226,2.47699407715839e-32,2.73476483107277,4.07662298427206
"Sex_1:2",0.406077686373189,0.00637258292844367,1.12111408280918,2.00939255519143
"BMI_1:2",0.312085422265543,2.02638719354758e-06,1.20121373246277,1.55400948445964
"MedBenzo_1:2",-0.0766156977617753,0.781002154227186,0.539696587221549,1.58965462765653
"MedAntiDep_1:2",0.339106985415181,0.186106719488683,0.849103362189585,2.32051310020191
"MedSedative_1:2",-0.465892382441628,0.30125068937723,0.259445582940937,1.51804531929001
"MedAntiEplipetic_1:2",0.268487228269174,0.392068355571962,0.707262359649052,2.41893666710291
"MedStimulant_1:2",-14.6251487539856,0,2.83908036520189e-07,6.9755669620208e-07
"SleepEfficiency_1:3",-0.308303770171433,2.83578485368499e-05,0.635941846452997,0.848776494979612
"Age_1:3",1.29699289325587,2.60221277922464e-35,2.98020981571372,4.490625854252
"Sex_1:3",0.348078873425072,0.00703136580699141,1.09962432799245,1.82428685336056
"BMI_1:3",0.250601345862307,0.000253551297309923,1.12339161020397,1.4693944231236
"MedBenzo_1:3",0.298142921797396,0.12526660003851,0.920325348933841,1.97252386969517
"MedAntiDep_1:3",-0.109478240663297,0.652686216566278,0.556397427690738,1.44385404825479
"MedSedative_1:3",0.545352947600868,0.0330676201492833,1.04480684115333,2.848731672039
"MedAntiEplipetic_1:3",0.365935757887713,0.151244529134391,0.874749497968288,2.37664359330567
"MedStimulant_1:3",0.695788156430283,0.0700088091421939,0.944709949362837,4.25652731409665
