"","coef","Pr(>|z|)","lower .95","upper .95"
"WASO_1:2",-0.0203451365246361,0.702519553671995,0.882714625231042,1.08769746585933
"Age_1:2",1.22992011558004,1.28621988366057e-56,2.93845938373867,3.98267938973886
"Sex_1:2",0.494036855637792,0.000101490406489599,1.27752666064173,2.10254349307137
"BMI_1:2",0.319309792857934,1.07542089415425e-07,1.22326987418363,1.54819864043152
"MedBenzo_1:2",0.108994461335441,0.616748247754815,0.727704898335654,1.70889778935984
"MedAntiDep_1:2",-0.360449911235015,0.15920036124217,0.422195525527032,1.15187024242727
"MedSedative_1:2",0.0513715637554958,0.871811579034985,0.564043985672752,1.96475227614536
"MedAntiEplipetic_1:2",-0.85522826621554,0.040497028767344,0.187601268214191,0.963656813641778
"MedStimulant_1:2",0.47314412320574,0.370108283306881,0.570337376683059,4.5168527214246
"WASO_1:3",0.22296488799946,4.85969417309729e-05,1.12230982250749,1.39172066888946
"Age_1:3",1.26668210267523,6.31830256450814e-32,2.87358820476428,4.38330370633865
"Sex_1:3",0.430192105842538,0.00182509077535745,1.17317652760875,2.01510068303381
"BMI_1:3",0.276277721992977,0.000141953966504715,1.14334328613167,1.51983042546817
"MedBenzo_1:3",0.267812008064349,0.219037052320474,0.85278098953393,2.00346169880742
"MedAntiDep_1:3",0.0271505993989504,0.908031125783599,0.64824320294618,1.6287136616812
"MedSedative_1:3",0.633563388521406,0.0114097407176792,1.15341578015668,3.07836617479448
"MedAntiEplipetic_1:3",0.38670060820939,0.136907423622348,0.884390207425754,2.45041676693153
"MedStimulant_1:3",0.766640390823278,0.0807709801475966,0.910433208192602,5.08917391358974
