"","coef","Pr(>|z|)","lower .95","upper .95"
"WASO_1:2",-0.253356663185433,0.0872643415511568,0.580568762096024,1.03772799714609
"Age_1:2",-0.0845420134167332,0.493078908363416,0.721595484364645,1.17023729119066
"Sex_1:2",-0.427037397644202,0.0434438989553462,0.431062353189686,0.987506433866803
"BMI_1:2",0.215860675349796,0.0107511117554283,1.0512625916139,1.4648157120185
"MedBenzo_1:2",1.0984263743172,1.54937900233091e-05,1.82258167893981,4.93621452893922
"MedAntiDep_1:2",0.401589327395158,0.145148192273956,0.870512242437183,2.56472718150311
"MedSedative_1:2",-0.396455893323491,0.319907072085021,0.307993815160531,1.4692672251475
"MedAntiEplipetic_1:2",1.11435352992856,4.10986010446978e-05,1.78926661311893,5.19086960608577
"MedStimulant_1:2",0.294425613818053,0.584049580963732,0.467847944983279,3.85150186629984
"WASO_1:3",0.130042214199205,0.00460093165447551,1.04091235830472,1.24606032262961
"Age_1:3",1.45386733750904,5.69010739797992e-57,3.57772702678,5.11924509074145
"Sex_1:3",0.346900795696376,0.00135474888616112,1.14419499171582,1.74909806851316
"BMI_1:3",0.260380348328109,1.63896062331991e-05,1.1525179441746,1.46054788803934
"MedBenzo_1:3",0.326796324605118,0.0508050496183176,0.998855983279361,1.92463688892568
"MedAntiDep_1:3",0.0398559963911008,0.838464712229793,0.709400913623723,1.52660519222134
"MedSedative_1:3",0.59449737107615,0.00385028882132441,1.21087168085737,2.71191287683835
"MedAntiEplipetic_1:3",0.324888271103066,0.160150126095431,0.879441622666505,2.17764634393882
"MedStimulant_1:3",0.354933072329579,0.38691544082159,0.638212070308537,3.18658814348548
