"","coef","Pr(>|z|)","lower .95","upper .95"
"WASO_1:2",-0.00583590967787508,0.937895794631964,0.858439193670875,1.15138735436969
"Age_1:2",1.75066842236127,4.12089909559252e-53,4.60430266070751,7.20190530984255
"Sex_1:2",0.0368907882288362,0.806480792379228,0.77238820591886,1.39382194468307
"BMI_1:2",0.0750954848700437,0.393439142325522,0.907217184095605,1.28090181653377
"MedBenzo_1:2",0.367145450659114,0.104552298095858,0.926650713750831,2.24896357736121
"MedAntiDep_1:2",0.600597596378058,0.0134928868320061,1.1321437002454,2.93610031485083
"MedSedative_1:2",-0.335638590611768,0.368731879282357,0.343865205711116,1.48620867095879
"MedAntiEplipetic_1:2",0.54904265016064,0.0490141306861414,1.00237494769383,2.99131523424434
"MedStimulant_1:2",-0.0292005992762856,0.961683547740995,0.295077186300576,3.19669386916895
"WASO_1:3",0.149815324713156,0.00260075188148279,1.05369939203978,1.28059324956175
"Age_1:3",1.32296770858274,2.70273045625921e-45,3.12483493476728,4.51115832904627
"Sex_1:3",0.340921814037058,0.00346747095614811,1.11886859713677,1.76742844541856
"BMI_1:3",0.279910633106283,9.34254215143463e-06,1.16896844776969,1.49735403660446
"MedBenzo_1:3",0.475582043533595,0.00394277275263511,1.16442991177142,2.22316635543783
"MedAntiDep_1:3",0.0283637821981112,0.888043725872998,0.693141072323651,1.52691490434458
"MedSedative_1:3",0.645550688050976,0.00178135796568559,1.27200944759691,2.85909026152822
"MedAntiEplipetic_1:3",0.301837935053886,0.192456311572885,0.858933476843228,2.12918584160245
"MedStimulant_1:3",0.559659226602915,0.111293423660139,0.878815792824364,3.48510586450989
