"","coef","Pr(>|z|)","lower .95","upper .95"
"WASO_1:2",-0.0779391913463267,0.0435972543068999,0.857581488355202,0.9977631969932
"Age_1:2",0.12742621347413,0.000785354033673661,1.05448158955563,1.22360713581363
"Sex_1:2",-0.563218791265273,3.96874558995012e-16,0.497161792878466,0.652073615865709
"BMI_1:2",0.146823947192673,1.2453240108618e-07,1.09679396465172,1.22293847378444
"MedBenzo_1:2",0.385565931935024,0.000280974550763032,1.19424433283849,1.81052749399583
"MedAntiDep_1:2",0.764799301513907,5.35994887360119e-14,1.76040200709535,2.62231209319776
"MedSedative_1:2",0.280063075717156,0.0401526851302387,1.01266363811426,1.72899795961303
"MedAntiEplipetic_1:2",0.222087806912054,0.0996031297137544,0.958643072083753,1.62647008548983
"MedStimulant_1:2",0.567833369278092,0.0058025683820271,1.17869959793397,2.6412570084802
"WASO_1:3",0.116146921694576,0.0329207983266533,1.00946916987203,1.24965713924066
"Age_1:3",1.45836050729702,2.08645505158168e-39,3.45817680947952,5.34402705056732
"Sex_1:3",0.284538492102584,0.0271895452592253,1.03257277500571,1.71090668744301
"BMI_1:3",0.254933273730254,0.000346353611992835,1.12218971051901,1.4837678128997
"MedBenzo_1:3",0.224163126189988,0.312401421303173,0.809973186449281,1.93301389284256
"MedAntiDep_1:3",-0.0460802285461968,0.866210547959591,0.558689666881114,1.63231729814687
"MedSedative_1:3",0.709756977769372,0.00841541533635355,1.1993891310902,3.44768015415739
"MedAntiEplipetic_1:3",0.464825548505189,0.0951246186384687,0.922150355562143,2.74751836157261
"MedStimulant_1:3",0.470500579234229,0.374465056724387,0.56676639688356,4.52134364860401
