"","coef","Pr(>|z|)","lower .95","upper .95"
"WASO_1:2",0.0261902179291638,0.652237963529583,0.916022134656203,1.15038329401458
"Age_1:2",0.760626324280407,5.34865146189858e-23,1.83980148983355,2.48828811176215
"Sex_1:2",0.143336175577776,0.21704877404498,0.919202736770402,1.4490684856034
"BMI_1:2",0.477604874529114,3.79777679655947e-25,1.47291384659676,1.76467599568052
"MedBenzo_1:2",0.168475295841702,0.37959142790214,0.812747297867468,1.72337682446224
"MedAntiDep_1:2",0.0405743373410996,0.837407557726016,0.706840245566837,1.53433839379169
"MedSedative_1:2",0.267911160836795,0.279017552365997,0.804806658953094,2.12330858896076
"MedAntiEplipetic_1:2",0.535247043204536,0.0112341535981311,1.12915384319464,2.58319123019118
"MedStimulant_1:2",0.108273348447327,0.818488208788493,0.44200327920389,2.80943859411276
"WASO_1:3",0.15347359854565,0.00327728142896568,1.05250775946442,1.29145764540645
"Age_1:3",1.4240812061734,3.33572506740804e-41,3.37524996708536,5.11252303224487
"Sex_1:3",0.255003139671949,0.040243534168323,1.01141180172148,1.64651198362564
"BMI_1:3",0.237458996456521,0.00102531946855041,1.10044648675127,1.461118149488
"MedBenzo_1:3",0.186187149950019,0.328565628399368,0.829177538622488,1.75013912836292
"MedAntiDep_1:3",-0.199563332888607,0.386180135137262,0.521561599393408,1.28634032098524
"MedSedative_1:3",0.93706838887387,1.36095162961211e-05,1.67340998549621,3.89336306669312
"MedAntiEplipetic_1:3",0.263109166677808,0.333749157236119,0.76307420753911,2.21802759046588
"MedStimulant_1:3",0.619597898594364,0.121322657755174,0.848520799415437,4.0692409310701
