"","coef","Pr(>|z|)","lower .95","upper .95"
"WASO_1:2",0.0383623016510542,0.334600656137013,0.96120989273332,1.1233183152683
"Age_1:2",0.595747307189772,4.02981767188317e-40,1.66143161504259,1.98142238880377
"Sex_1:2",0.207258830994911,0.00999569132418188,1.05081227984627,1.44044802985608
"BMI_1:2",0.381416440336581,4.32496271816945e-24,1.36012365245891,1.57657892807605
"MedBenzo_1:2",0.374279872185021,0.00405209443396385,1.12641658828755,1.87670637314134
"MedAntiDep_1:2",0.0991484798090749,0.461518605792225,0.848098579140938,1.43771544979614
"MedSedative_1:2",0.0663187631395913,0.714521060391468,0.748991743266271,1.52449749682676
"MedAntiEplipetic_1:2",0.256020629666172,0.126937263275274,0.929838518130638,1.79460618739769
"MedStimulant_1:2",0.381843140792574,0.180602480719175,0.837678150399613,2.56204970102621
"WASO_1:3",0.154650335077736,0.117324489107622,0.961853452851615,1.4165068072916
"Age_1:3",0.976076769238588,2.18292983577575e-09,1.92775405995935,3.65391031268965
"Sex_1:3",0.0512072392351116,0.841682794035399,0.63682266555092,1.73964058347392
"BMI_1:3",0.355831002246036,0.00796754909478985,1.09745794639365,1.85644887689106
"MedBenzo_1:3",0.0679821661140307,0.865776170067249,0.486599356736655,2.35438254190528
"MedAntiDep_1:3",0.40030514161709,0.296775701413697,0.703516754336365,3.16538240150312
"MedSedative_1:3",0.644891853173886,0.110730840425962,0.862772786721269,4.20968411144888
"MedAntiEplipetic_1:3",0.6473540655901,0.128901353282259,0.828424574742778,4.40586944065825
"MedStimulant_1:3",-0.336424008344965,0.753594147757694,0.087422650198958,5.83662581003557
