"","coef","Pr(>|z|)","lower .95","upper .95"
"WASO_1:2",0.0704431955600247,0.676526510686429,0.770677083472414,1.49387320323996
"Age_1:2",0.836282584220203,0.000477277100061861,1.44348553205717,3.68954989593628
"Sex_1:2",0.460765948172944,0.210280144771197,0.77098244929312,3.25965566506416
"BMI_1:2",-0.0266405768079285,0.924717075286992,0.560339062055976,1.69203518672025
"MedBenzo_1:2",0.210373631017593,0.723742264570235,0.384366383341737,3.96262355595218
"MedAntiDep_1:2",-0.269680345791884,0.698953371626962,0.194675989880218,2.99534075932783
"MedSedative_1:2",-0.260929400796531,0.765818535679859,0.138352740122166,4.28915595126854
"MedAntiEplipetic_1:2",-13.9226887956606,0,4.91824107675752e-07,1.64095379605264e-06
"MedStimulant_1:2",0.947561894460477,0.405372417877671,0.276799839697438,24.0367623574747
"WASO_1:3",0.137143471959415,0.00390750378125009,1.04497235250259,1.25897326003694
"Age_1:3",1.45427166623012,5.52727825695404e-58,3.58480733453369,5.11326734461939
"Sex_1:3",0.290327459358781,0.00788587688002459,1.07913273587825,1.65615263483807
"BMI_1:3",0.292199890240522,1.03324226710061e-06,1.19120807295862,1.50596185587339
"MedBenzo_1:3",0.348401011865055,0.0352001887752002,1.02446087085496,1.95939456314448
"MedAntiDep_1:3",0.00463107287028138,0.980575257925651,0.692002831260627,1.45852751831972
"MedSedative_1:3",0.539751502181141,0.00922685768277293,1.14273145916821,2.57559761584851
"MedAntiEplipetic_1:3",0.308674333005783,0.161759054992082,0.883631557920859,2.09816627087534
"MedStimulant_1:3",0.497931791992223,0.190080255302051,0.78125208123809,3.46502898586113
