"","coef","Pr(>|z|)","lower .95","upper .95"
"WASO_1:2",0.129623957364005,0.177332511261964,0.942984969869235,1.37431146068989
"Age_1:2",0.927417302463087,2.44443740819845e-12,1.95030197056067,3.27674446270442
"Sex_1:2",0.746102615618582,0.00142035357405675,1.33343720662332,3.33490854716555
"BMI_1:2",0.191937574471988,0.0757489912653594,0.980303400327002,1.49745696396199
"MedBenzo_1:2",-0.0731401209484582,0.867893877377689,0.392597321406137,2.20051313856858
"MedAntiDep_1:2",0.149694370085336,0.695437813075785,0.548951141305548,2.45747543584954
"MedSedative_1:2",-0.353207815944018,0.563881728332865,0.211651798520534,2.33123269784557
"MedAntiEplipetic_1:2",0.352962713359191,0.484696427215857,0.528847169731161,3.83044590111277
"MedStimulant_1:2",0.530943022861915,0.46484280429193,0.409495527648724,7.0619085156242
"WASO_1:3",0.14271535221499,0.0044798071858348,1.04529695498225,1.27268608172472
"Age_1:3",1.40895902976985,4.5172946120487e-51,3.4050268499522,4.9168360015644
"Sex_1:3",0.309610557886334,0.00774515811520364,1.08516940116286,1.711696546039
"BMI_1:3",0.319675901404061,1.66433216890696e-07,1.22134601401404,1.55177317672811
"MedBenzo_1:3",0.281780310896061,0.10996744285646,0.938236877234672,1.87257305303326
"MedAntiDep_1:3",-0.0672373801120861,0.753455688299315,0.614581955846981,1.42238953529473
"MedSedative_1:3",0.593429206911964,0.0072054958994368,1.17421363182361,2.79060868801942
"MedAntiEplipetic_1:3",0.44358110620145,0.0528723905649586,0.994515526046709,2.44162006806324
"MedStimulant_1:3",0.50705866447045,0.219057461677254,0.739667390501199,3.72725484072092
