"","coef","Pr(>|z|)","lower .95","upper .95"
"WASO_1:2",-0.0527616458180569,0.507454813685207,0.811572507042262,1.10877771946906
"Age_1:2",1.24004455798191,2.54766890063243e-34,2.83230780750121,4.21646566482869
"Sex_1:2",0.415426966094974,0.00507388811526115,1.13300412272113,2.02583368348919
"BMI_1:2",0.317351590574896,1.17774485240732e-06,1.2084653969324,1.56103941877151
"MedBenzo_1:2",-0.0839865438398571,0.76103733617195,0.535123804455031,1.57977757368667
"MedAntiDep_1:2",0.333107031678967,0.192036204186695,0.845908684279208,2.30149273299917
"MedSedative_1:2",-0.467939000764209,0.299182049039172,0.258891529495454,1.51507979647424
"MedAntiEplipetic_1:2",0.265305908982354,0.397504072021162,0.70519837839122,2.41062957042247
"MedStimulant_1:2",-14.6092818085885,0,2.91572598115214e-07,7.01119982744046e-07
"WASO_1:3",0.150527230279424,0.00663285905479862,1.04273884621937,1.29589775623784
"Age_1:3",1.33435479478225,8.41369629443111e-38,3.09831204924164,4.65458207369766
"Sex_1:3",0.349690118283552,0.00668972240941563,1.10181658775577,1.82653362293876
"BMI_1:3",0.267071952944278,0.000117499250385685,1.14014556438252,1.49628888159188
"MedBenzo_1:3",0.295432132273373,0.129735742352314,0.91692137755096,1.96914180078573
"MedAntiDep_1:3",-0.105570234045473,0.666188641607776,0.556982969147337,1.45365365244838
"MedSedative_1:3",0.538558830985141,0.0358242663263715,1.03629688551011,2.83336199358757
"MedAntiEplipetic_1:3",0.34801263225061,0.172621147837268,0.858887442950852,2.3353053716923
"MedStimulant_1:3",0.738188448768815,0.0631034224625854,0.960484962632934,4.55713369487145
